Country,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
New Zealand,2020-01-22,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-23,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-24,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-25,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-26,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-27,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-28,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-29,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-30,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-01-31,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-01,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-02,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-03,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-04,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-05,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-06,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-07,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-08,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-09,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-10,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-11,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-12,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-13,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-14,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-15,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-16,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-17,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-18,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-19,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-20,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-21,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-22,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-23,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-24,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-25,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-26,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-27,-40.9006,174.886,4964681,42331,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
New Zealand,2020-02-28,-40.9006,174.886,4964681,42331,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.2014,0.0,0.0,0.0,0.2014,,
New Zealand,2020-02-29,-40.9006,174.886,4964681,42331,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.2014,0.0,0.0,0.0,0.2014,,
New Zealand,2020-03-01,-40.9006,174.886,4964681,42331,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.2014,0.0,0.0,0.0,0.2014,,
New Zealand,2020-03-02,-40.9006,174.886,4964681,42331,,,1,0,0,0,1,0.3333,,,,,,,,,,,,,,0.0,0.2014,0.0,0.0,0.0,0.2014,,
New Zealand,2020-03-03,-40.9006,174.886,4964681,42331,,,1,0,0,0,1,0.5,,,,,,,,,,,,,,0.0,0.2014,0.0,0.0,0.0,0.2014,,
New Zealand,2020-03-04,-40.9006,174.886,4964681,42331,,,3,0,0,0,3,0.6667,,,,,,,,,,,,,,0.0,0.6043,0.0,0.0,0.0,0.6043,,
New Zealand,2020-03-05,-40.9006,174.886,4964681,42331,,,3,0,0,0,3,0.6667,,,,,0.0,,,,,,,,,0.0,0.6043,0.0,0.0,0.0,0.6043,,
New Zealand,2020-03-06,-40.9006,174.886,4964681,42331,,,4,0,0,0,4,0.6667,,,,,-0.05556,,,,,,,,,0.0,0.8057,0.0,0.0,0.0,0.8057,,
New Zealand,2020-03-07,-40.9006,174.886,4964681,42331,,,5,0,0,0,5,0.3333,,,,,-0.11111,,,,,,,,,0.0,1.007,0.0,0.0,0.0,1.007,,
New Zealand,2020-03-08,-40.9006,174.886,4964681,42331,,,5,0,0,0,5,0.3333,,,,,-0.08333,,,,,,,,,0.0,1.007,0.0,0.0,0.0,1.007,,
New Zealand,2020-03-09,-40.9006,174.886,4964681,42331,312,samples tested,5,0,0,0,5,0.1667,,,,,-0.02778,,,,,,,,,0.0,1.007,0.0,0.0,0.0,1.007,62.4,62.844
New Zealand,2020-03-10,-40.9006,174.886,4964681,42331,401,samples tested,5,0,0,0,5,0.0,,,,,0.02778,,,,,,,,,0.0,1.007,0.0,0.0,0.0,1.007,80.2,80.771
New Zealand,2020-03-11,-40.9006,174.886,4964681,42331,484,samples tested,5,0,0,0,5,0.1667,,,,,0.1389,,,,,,,,,0.0,1.007,0.0,0.0,0.0,1.007,96.8,97.489
New Zealand,2020-03-12,-40.9006,174.886,4964681,42331,515,samples tested,5,0,0,0,5,0.5,,,,,0.3889,,,,,0.2153,,,,0.0,1.007,0.0,0.0,0.0,1.007,103.0,103.733
New Zealand,2020-03-13,-40.9006,174.886,4964681,42331,550,samples tested,5,0,0,0,5,0.5,,,,,,,,,,0.25,,,,0.0,1.007,0.0,0.0,0.0,1.007,110.0,110.783
New Zealand,2020-03-14,-40.9006,174.886,4964681,42331,584,samples tested,6,0,0,0,6,1.167,,,,,0.8889,,,,,0.5347,0.09896,,,0.0,1.209,0.0,0.0,0.0,1.209,97.333,117.631
New Zealand,2020-03-15,-40.9006,174.886,4964681,42331,726,samples tested,8,0,0,0,8,2.5,,,,,1.139,,,,,,0.1337,,,0.0,1.611,0.0,0.0,0.0,1.611,90.75,146.233
New Zealand,2020-03-16,-40.9006,174.886,4964681,42331,1051,samples tested,8,0,0,0,8,3.833,,,,,2.528,,,,,0.6111,0.07465,-0.00434,,0.0,1.611,0.0,0.0,0.0,1.611,131.375,211.695
New Zealand,2020-03-17,-40.9006,174.886,4964681,42331,1710,samples tested,12,0,0,0,12,5.5,,,,,2.306,,,,,0.7847,,-0.00955,,0.0,2.417,0.0,0.0,0.0,2.417,142.5,344.433
New Zealand,2020-03-18,-40.9006,174.886,4964681,42331,2919,samples tested,20,0,0,0,20,7.333,,,,,3.333,,,,,0.8333,0.0816,-0.03255,,0.0,4.028,0.0,0.0,0.0,4.028,145.95,587.953
New Zealand,2020-03-19,-40.9006,174.886,4964681,42331,4210,samples tested,28,0,0,0,28,15.667,,,,,4.278,,,,,1.312,0.09549,,,0.0,5.64,0.0,0.0,0.0,5.64,150.357,847.99
New Zealand,2020-03-20,-40.9006,174.886,4964681,42331,5764,samples tested,39,0,0,0,39,15.0,,,,,5.861,,,,,0.9375,-0.05556,-0.11111,,0.0,7.855,0.0,0.0,0.0,7.855,147.795,1161.001
New Zealand,2020-03-21,-40.9006,174.886,4964681,42331,6940,samples tested,52,0,0,0,52,22.5,,,,,7.556,,,,,1.167,-0.34028,-0.1875,,0.0,10.474,0.0,0.0,0.0,10.474,133.462,1397.874
New Zealand,2020-03-22,-40.9006,174.886,4964681,42331,8196,samples tested,102,0,0,0,102,29.5,,,,,7.083,,,,,0.6111,-0.36285,,,0.0,20.545,0.0,0.0,0.0,20.545,80.353,1650.861
New Zealand,2020-03-23,-40.9006,174.886,4964681,42331,9246,samples tested,102,0,0,0,102,40.667,,,,,8.944,,,,,-0.04861,-0.65451,,,0.0,20.545,0.0,0.0,0.0,20.545,90.647,1862.355
New Zealand,2020-03-24,-40.9006,174.886,4964681,42331,10790,samples tested,155,12,0,12,143,52.667,,,,,8.306,,,,,-0.51389,-0.55382,,0.0,0.0,31.221,0.0,2.417,2.417,28.803,69.613,2173.352
New Zealand,2020-03-25,-40.9006,174.886,4964681,42331,13382,samples tested,205,22,0,22,183,58.167,,,,,7.361,,,,,-1.45139,,,0.0,0.0,41.292,0.0,4.431,4.431,36.86,65.278,2695.44
New Zealand,2020-03-26,-40.9006,174.886,4964681,42331,15499,samples tested,283,27,0,27,256,68.667,,,,,5.028,,,,,-1.60417,,,0.0,0.0,57.003,0.0,5.438,5.438,51.564,54.767,3121.852
New Zealand,2020-03-27,-40.9006,174.886,4964681,42331,17566,samples tested,368,37,0,37,331,72.333,8.5,,,,3.139,,,,,-1.67361,,,0.0,0.0,74.124,0.0,7.453,7.453,66.671,47.734,3538.193
New Zealand,2020-03-28,-40.9006,174.886,4964681,42331,19375,samples tested,451,50,0,50,401,73.667,8.667,,,,1.889,,,,,-1.14583,,,0.0,0.0,90.842,0.0,10.071,10.071,80.771,42.96,3902.567
New Zealand,2020-03-29,-40.9006,174.886,4964681,42331,20293,samples tested,514,56,1,57,457,70.833,9.333,,,,0.6667,,,,,-0.66667,,,0.01754,0.00195,103.531,0.2014,11.28,11.481,92.05,39.481,4087.473
New Zealand,2020-03-30,-40.9006,174.886,4964681,42331,21684,samples tested,589,63,1,64,525,71.5,9.167,,,,0.4444,1.167,,,,-0.28472,,,0.01562,0.0017,118.638,0.2014,12.69,12.891,105.747,36.815,4367.652
New Zealand,2020-03-31,-40.9006,174.886,4964681,42331,23777,samples tested,647,74,1,75,572,69.5,8.833,,,,0.4722,1.389,,,,-0.27778,,,0.01333,0.00155,130.321,0.2014,14.905,15.107,115.214,36.75,4789.23
New Zealand,2020-04-01,-40.9006,174.886,4964681,42331,26339,samples tested,708,83,1,84,624,72.667,11.833,0.0,11.833,60.833,0.75,2.833,,,,-0.43056,,,0.0119,0.00141,142.607,0.2014,16.718,16.92,125.688,37.202,5305.275
New Zealand,2020-04-02,-40.9006,174.886,4964681,42331,29785,samples tested,797,92,1,93,704,75.0,15.5,0.0,15.5,59.5,-0.44444,3.75,,,,-0.83333,,,0.01075,0.00125,160.534,0.2014,18.531,18.732,141.802,37.371,5999.378
New Zealand,2020-04-03,-40.9006,174.886,4964681,42331,33416,samples tested,868,103,1,104,764,76.5,17.0,0.0,17.0,59.5,-1.27778,4.472,,,,-1.41667,,,0.00962,0.00115,174.835,0.2014,20.747,20.948,153.887,38.498,6730.745
