Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
east_asia_&_pacific,All,2.300828616e9,0.103,0.222,0.0909,0.0419,0.0011,1.36,0.0006,0.0003,55889.84,1.13,0.0145,0.391,0.391
europe_&_central_asia,All,9.18873518e8,0.0876,0.222,0.0913,0.0807,0.0003,0.876,0.0004,0.001,333944.47,0.96,0.0053,1.18,1.18
latin_america_&_caribbean,All,6.52796593e8,0.123,0.222,0.091,0.062,0.0018,0.505,0.0011,0.0011,535685.83,1.35,0.0257,0.3,0.3
middle_east_&_north_africa,All,4.10405444e8,0.0982,0.222,0.0909,0.0276,0.0008,1.44,0.0002,0.0002,369019.58,1.08,0.0096,0.207,0.207
north_america,All,3.32049547e8,0.138,0.222,0.0909,0.0585,0.0006,0.205,0.0007,0.0008,96782.1,1.51,0.014,0.261,0.261
south_asia,All,1.82964504e9,0.122,0.222,0.0909,0.0353,0.0001,0.363,0.0009,0.0009,155256.52,1.34,0.0134,0.0947,0.0947
sub-saharan_africa,All,1.079079588e9,0.142,0.222,0.0909,0.0294,0.0013,0.768,0.0016,0.0009,102597.69,1.56,0.0316,0.0963,0.0963
