region,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Sub-Saharan Africa,2020-01-22,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-23,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-24,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-25,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-26,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-27,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-28,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-29,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-30,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-01-31,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-01,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-02,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-03,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-04,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-05,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-06,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-07,1079079588,42,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.038922059565452555
Sub-Saharan Africa,2020-02-08,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-09,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-10,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-11,1079079588,61,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.05652965794030013
Sub-Saharan Africa,2020-02-12,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-13,1079079588,67,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.062089952163936216
Sub-Saharan Africa,2020-02-14,1079079588,71,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.0657968149796936
Sub-Saharan Africa,2020-02-15,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-16,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-17,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-18,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-19,1079079588,95,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.08803799187423791
Sub-Saharan Africa,2020-02-20,1079079588,106,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.09823186461757073
Sub-Saharan Africa,2020-02-21,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-22,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-23,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-24,1079079588,116,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.10749902165696419
Sub-Saharan Africa,2020-02-25,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-26,1079079588,121,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,0.11213260017666092
Sub-Saharan Africa,2020-02-27,1079079588,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sub-Saharan Africa,2020-02-28,1079079588,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0009267157039393465,0.0,0.0,0.0,0.0009267157039393465,,
Sub-Saharan Africa,2020-02-29,1079079588,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0009267157039393465,0.0,0.0,0.0,0.0009267157039393465,,
Sub-Saharan Africa,2020-03-01,1079079588,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0009267157039393465,0.0,0.0,0.0,0.0009267157039393465,,
Sub-Saharan Africa,2020-03-02,1079079588,161,2,0,0,2,0,2,0.8333333333333334,,,,,,,,,,,,,,0.0,0.001853431407878693,0.0,0.0,0.0,0.001853431407878693,80.5,0.1492012283342348
Sub-Saharan Africa,2020-03-03,1079079588,167,3,0,0,3,0,3,1.1666666666666667,,,,,,,,,,,,,,0.0,0.0027801471118180394,0.0,0.0,0.0,0.0027801471118180394,55.666666666666664,0.15476152255787087
Sub-Saharan Africa,2020-03-04,1079079588,14,5,0,0,5,0,5,1.1666666666666667,,,,,,,,,,,,,,0.0,0.004633578519696733,0.0,0.0,0.0,0.004633578519696733,2.8,0.012974019855150851
Sub-Saharan Africa,2020-03-05,1079079588,,6,1,0,6,1,5,1.5,,,,,0.4166666666666667,,,,,,,,0.0,0.0,0.005560294223636079,0.0,0.0009267157039393465,0.0009267157039393465,0.004633578519696733,,
Sub-Saharan Africa,2020-03-06,1079079588,247,8,1,0,8,1,7,1.5,,,,,0.4166666666666667,,,,,,,,0.0,0.0,0.007413725631514772,0.0,0.0009267157039393465,0.0009267157039393465,0.0064870099275754255,30.875,0.2288987788730186
