region,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
South Asia,2020-01-22,1829645040,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
South Asia,2020-01-23,1829645040,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
South Asia,2020-01-24,1829645040,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
South Asia,2020-01-25,1829645040,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0005465541010074829,0.0,0.0,0.0,0.0005465541010074829,,
South Asia,2020-01-26,1829645040,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0005465541010074829,0.0,0.0,0.0,0.0005465541010074829,,
South Asia,2020-01-27,1829645040,,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.0010931082020149657,0.0,0.0,0.0,0.0010931082020149657,,
South Asia,2020-01-28,1829645040,3,2,0,0,2,0,2,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0010931082020149657,0.0,0.0,0.0,0.0010931082020149657,1.5,0.0016396623030224486
South Asia,2020-01-29,1829645040,4,2,0,0,2,0,2,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0010931082020149657,0.0,0.0,0.0,0.0010931082020149657,2.0,0.0021862164040299314
South Asia,2020-01-30,1829645040,5,3,0,0,3,0,3,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0016396623030224486,0.0,0.0,0.0,0.0016396623030224486,1.6666666666666667,0.002732770505037414
South Asia,2020-01-31,1829645040,,3,0,0,3,0,3,0.5,,,,,0.0,,,,,,,,,0.0,0.0016396623030224486,0.0,0.0,0.0,0.0016396623030224486,,
South Asia,2020-02-01,1829645040,,3,0,0,3,0,3,0.5,,,,,0.0,,,,,,,,,0.0,0.0016396623030224486,0.0,0.0,0.0,0.0016396623030224486,,
South Asia,2020-02-02,1829645040,,4,1,0,4,1,3,0.3333333333333333,,,,,-0.027777777777777776,,,,,,,,0.0,0.0,0.0021862164040299314,0.0,0.0005465541010074829,0.0005465541010074829,0.0016396623030224486,,
