Region,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
North America,2020-01-22,330863098,1.0,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.003,0.0,0.0,0.0,0.003,1.0,0.003
North America,2020-01-23,330863098,2.0,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.003,0.0,0.0,0.0,0.003,2.0,0.006
North America,2020-01-24,330863098,,2,0,0,2,0,2,,,,,,,,,,,,,,,,0.006,0.0,0.0,0.0,0.006,,
North America,2020-01-25,330863098,,2,0,0,2,0,2,,,,,,,,,,,,,,,,0.006,0.0,0.0,0.0,0.006,,
North America,2020-01-26,330863098,,5,0,0,5,0,5,0.714,0.714,0.286,0.0,0.286,0.429,,,,,,,,,,0.0151,0.0,0.0,0.0,0.0151,,
North America,2020-01-27,330863098,3.0,5,1,0,5,1,4,0.714,0.714,0.286,0.0,0.286,0.429,,,,,,,,,0.0,0.0151,0.0,0.003,0.003,0.0121,0.6,0.0091
North America,2020-01-28,330863098,,5,1,0,5,1,4,0.857,0.857,0.286,0.0,0.286,0.571,,,,,,,,,0.0,0.0151,0.0,0.003,0.003,0.0121,,
North America,2020-01-29,330863098,5.0,6,2,0,6,2,4,0.857,0.857,0.429,0.0,0.429,0.429,0.0286,0.0286,0.0,0.0286,-0.0,,,,0.0,0.0181,0.0,0.006,0.006,0.0121,0.833,0.0151
North America,2020-01-30,330863098,,6,2,0,6,2,4,0.429,0.429,0.429,0.0,0.429,0.0,0.0286,0.0286,0.0,0.0286,-0.0,,,,0.0,0.0181,0.0,0.006,0.006,0.0121,,
North America,2020-01-31,330863098,8.0,8,2,0,8,2,6,0.857,0.857,0.429,0.0,0.429,0.429,-0.0286,0.0286,0.0,0.0286,-0.0571,,,,0.0,0.0242,0.0,0.006,0.006,0.0181,1.0,0.0242
North America,2020-02-01,330863098,,8,3,0,8,3,5,0.857,0.857,0.429,0.0,0.429,0.429,0.0,0.0286,0.0,0.0286,-0.0286,-0.0171,,,0.0,0.0242,0.0,0.0091,0.0091,0.0151,,
North America,2020-02-02,330863098,,8,3,0,8,3,5,0.714,0.714,0.429,0.0,0.429,0.286,0.0286,0.0286,0.0,0.0286,0.0,-0.0171,,,0.0,0.0242,0.0,0.0091,0.0091,0.0151,,
North America,2020-02-03,330863098,11.0,11,4,0,11,4,7,0.857,0.857,0.571,0.0,0.571,0.286,-0.0571,0.0286,0.0,0.0286,-0.0857,-0.0171,,,0.0,0.0332,0.0,0.0121,0.0121,0.0212,1.0,0.0332
North America,2020-02-04,330863098,15.0,11,4,0,11,4,7,0.571,0.571,0.571,0.0,0.571,0.0,-0.0571,0.0286,0.0,0.0286,-0.0857,-0.0229,0.0034,,0.0,0.0332,0.0,0.0121,0.0121,0.0212,1.36,0.0453
North America,2020-02-05,330863098,,11,5,0,11,5,6,0.571,0.571,0.571,0.0,0.571,0.0,-0.1143,0.0286,0.0,0.0286,-0.1429,-0.0171,0.0034,,0.0,0.0332,0.0,0.0151,0.0151,0.0181,,
North America,2020-02-06,330863098,16.0,12,6,0,12,6,6,0.571,0.571,0.571,0.0,0.571,0.0,-0.1143,0.0,0.0,0.0,-0.1143,0.0,0.0091,,0.0,0.0363,0.0,0.0181,0.0181,0.0181,1.33,0.0484
North America,2020-02-07,330863098,,12,6,0,12,6,6,0.143,0.143,0.571,0.0,0.571,-0.4286,-0.0571,-0.0286,0.0,-0.0286,-0.0286,0.0,0.0091,-0.0005,0.0,0.0363,0.0,0.0181,0.0181,0.0181,,
North America,2020-02-08,330863098,18.0,12,7,0,12,7,5,0.286,0.286,0.571,0.0,0.571,-0.2857,-0.0571,-0.0286,0.0,-0.0286,-0.0286,0.0286,0.0057,-0.0005,0.0,0.0363,0.0,0.0212,0.0212,0.0151,1.5,0.0544
North America,2020-02-09,330863098,,12,7,0,12,7,5,0.286,0.286,0.429,0.0,0.429,-0.1429,-0.0571,-0.0286,0.0,-0.0286,-0.0286,0.0229,0.0011,-0.0037,0.0,0.0363,0.0,0.0212,0.0212,0.0151,,
North America,2020-02-10,330863098,19.0,12,8,0,12,8,4,0.286,0.286,0.429,0.0,0.429,-0.1429,0.0286,-0.0286,0.0,-0.0286,0.0571,0.0114,0.0011,-0.0027,0.0,0.0363,0.0,0.0242,0.0242,0.0121,1.58,0.0574
North America,2020-02-11,330863098,20.0,13,8,0,13,8,5,0.286,0.286,0.429,0.0,0.429,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0057,-0.0091,-0.0016,0.0,0.0393,0.0,0.0242,0.0242,0.0151,1.54,0.0604
North America,2020-02-12,330863098,21.0,13,8,0,13,8,5,0.286,0.286,0.429,0.0,0.429,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0057,-0.0046,0.0,0.0,0.0393,0.0,0.0242,0.0242,0.0151,1.62,0.0635
North America,2020-02-13,330863098,22.0,14,9,0,14,9,5,0.286,0.286,0.429,0.0,0.429,-0.1429,-0.0286,0.0,0.0,0.0,-0.0286,-0.0171,-0.0023,0.0,0.0,0.0423,0.0,0.0272,0.0272,0.0151,1.57,0.0665
North America,2020-02-14,330863098,,14,9,0,14,9,5,0.286,0.286,0.286,0.0,0.286,0.0,-0.0286,0.0,0.0,0.0,-0.0286,0.0,0.0011,0.0034,0.0,0.0423,0.0,0.0272,0.0272,0.0151,,
North America,2020-02-15,330863098,25.0,14,10,0,14,10,4,0.143,0.143,0.429,0.0,0.429,-0.2857,-0.0571,-0.0286,0.0,-0.0286,-0.0286,0.0,0.0011,0.0009,0.0,0.0423,0.0,0.0302,0.0302,0.0121,1.79,0.0756
North America,2020-02-16,330863098,,14,10,0,14,10,4,0.143,0.143,0.429,0.0,0.429,-0.2857,0.0,0.0,0.0,0.0,0.0,0.0114,0.008,0.0007,0.0,0.0423,0.0,0.0302,0.0302,0.0121,,
North America,2020-02-17,330863098,26.0,14,10,0,14,10,4,0.0,0.0,0.286,0.0,0.286,-0.2857,0.0,0.0,0.0,0.0,0.0,0.0114,0.0,-0.0011,0.0,0.0423,0.0,0.0302,0.0302,0.0121,1.86,0.0786
North America,2020-02-18,330863098,,14,11,0,14,11,3,0.286,0.286,0.429,0.0,0.429,-0.1429,0.0286,-0.0286,0.0,-0.0286,0.0571,0.0229,0.0011,0.0007,0.0,0.0423,0.0,0.0332,0.0332,0.0091,,
North America,2020-02-19,330863098,,14,11,0,14,11,3,0.286,0.286,0.286,0.0,0.286,0.0,0.0286,0.0,0.0,0.0,0.0286,0.0,-0.0046,0.0002,0.0,0.0423,0.0,0.0332,0.0332,0.0091,,
North America,2020-02-20,330863098,27.0,14,11,0,14,11,3,0.286,0.286,0.286,0.0,0.286,0.0,0.0571,0.0,0.0,0.0,0.0571,0.0057,0.0046,0.0085,0.0,0.0423,0.0,0.0332,0.0332,0.0091,1.93,0.0816
North America,2020-02-21,330863098,,16,12,0,16,12,4,0.286,0.286,0.429,0.0,0.429,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,-0.0114,0.0091,0.0119,0.0,0.0484,0.0,0.0363,0.0363,0.0121,,
North America,2020-02-22,330863098,28.0,16,12,0,16,12,4,0.286,0.286,0.286,0.0,0.286,0.0,0.0286,0.0286,0.0,0.0286,0.0,0.0343,0.0423,0.0222,0.0,0.0484,0.0,0.0363,0.0363,0.0121,1.75,0.0846
North America,2020-02-23,330863098,,16,12,0,16,12,4,0.286,0.286,0.286,0.0,0.286,0.0,-0.0286,0.0,0.0,0.0,-0.0286,0.0686,0.0606,0.0322,0.0,0.0484,0.0,0.0363,0.0363,0.0121,,
North America,2020-02-24,330863098,30.0,16,13,0,16,13,3,0.429,0.429,0.429,0.0,0.429,0.0,0.2,-0.0571,0.0286,-0.0286,0.229,0.211,0.106,0.0389,0.0,0.0484,0.0,0.0393,0.0393,0.0091,1.88,0.0907
North America,2020-02-25,330863098,31.0,16,13,0,16,13,3,0.143,0.143,0.286,0.0,0.286,-0.1429,0.4,0.0,0.0286,0.0286,0.371,0.309,0.166,0.0521,0.0,0.0484,0.0,0.0393,0.0393,0.0091,1.94,0.0937
North America,2020-02-26,330863098,,16,13,0,16,13,3,1.29,1.29,0.143,0.143,0.286,1.0,1.06,-0.1143,0.171,0.0571,1.0,0.52,0.203,0.061,0.0,0.0484,0.0,0.0393,0.0393,0.0091,,
North America,2020-02-27,330863098,6477.0,17,14,0,17,14,3,2.29,2.29,0.286,0.143,0.429,1.86,1.57,-0.0857,0.2,0.114,1.46,0.863,0.303,0.0398,0.0,0.0514,0.0,0.0423,0.0423,0.0091,381.0,19.58
North America,2020-02-28,330863098,6480.0,17,14,0,17,14,3,5.57,5.57,-0.2857,0.857,0.571,5.0,2.57,-0.0286,0.314,0.286,2.29,1.09,0.366,0.0199,0.0,0.0514,0.0,0.0423,0.0423,0.0091,381.18,19.59
North America,2020-02-29,330863098,6527.0,25,13,1,25,14,11,8.29,8.29,0.0,1.0,1.0,7.29,4.51,0.143,0.314,0.457,4.06,1.73,0.305,0.0567,0.0714,0.0756,0.003,0.0393,0.0423,0.0332,261.08,19.73
North America,2020-03-01,330863098,126.0,32,14,1,32,15,17,13.0,13.0,0.143,1.57,1.71,11.29,5.83,0.457,0.371,0.829,5.0,2.14,0.265,0.0272,0.0667,0.0967,0.003,0.0423,0.0453,0.0514,3.94,0.381
North America,2020-03-02,330863098,467.0,55,11,6,55,17,38,23.86,23.86,0.857,1.71,2.57,21.29,9.69,1.03,0.286,1.31,8.37,2.05,0.487,0.085,0.353,0.166,0.0181,0.0332,0.0514,0.115,8.49,1.41
North America,2020-03-03,330863098,1187.0,74,13,7,74,20,54,31.43,31.43,2.57,2.0,4.57,26.86,12.26,1.69,0.371,2.06,10.2,2.19,0.439,0.22,0.35,0.224,0.0212,0.0393,0.0604,0.163,16.04,3.59
North America,2020-03-04,330863098,2018.0,107,14,11,107,25,82,54.0,54.0,4.86,2.29,7.14,46.86,12.8,2.83,0.143,2.97,9.83,3.52,0.791,0.189,0.44,0.323,0.0332,0.0423,0.0756,0.248,18.86,6.1
North America,2020-03-05,330863098,2985.0,184,20,12,184,32,152,69.57,69.57,8.43,2.86,11.29,58.29,15.46,3.66,0.257,3.91,11.54,3.92,1.41,0.271,0.375,0.556,0.0363,0.0604,0.0967,0.459,16.22,9.02
North America,2020-03-06,330863098,4288.0,237,32,14,237,46,191,77.0,77.0,14.29,2.29,16.57,60.43,23.43,4.71,0.229,4.94,18.49,6.09,1.21,0.511,0.304,0.716,0.0423,0.0967,0.139,0.577,18.09,12.96
North America,2020-03-07,330863098,5593.0,403,47,17,403,64,339,101.14,101.14,19.14,3.0,22.14,79.0,29.29,6.17,0.429,6.6,22.69,9.07,1.84,0.638,0.266,1.22,0.0514,0.142,0.193,1.02,13.88,16.9
North America,2020-03-08,330863098,6995.0,519,73,21,519,94,425,148.57,148.57,26.14,3.14,29.29,119.29,42.71,8.2,0.486,8.69,34.03,8.25,3.0,1.06,0.223,1.57,0.0635,0.221,0.284,1.28,13.48,21.14
North America,2020-03-09,330863098,8993.0,594,111,22,594,133,461,200.43,200.43,35.71,4.43,40.14,160.29,58.17,11.06,0.714,11.77,46.4,12.73,3.98,2.43,0.165,1.8,0.0665,0.335,0.402,1.39,15.14,27.18
North America,2020-03-10,330863098,11646.0,782,147,28,782,175,607,283.14,283.14,49.43,5.29,54.71,228.43,56.71,15.2,0.8,16.0,40.71,18.9,6.72,2.76,0.16,2.36,0.0846,0.444,0.529,1.83,14.89,35.2
North America,2020-03-11,330863098,15470.0,1147,197,33,1147,230,917,367.86,367.86,69.57,5.86,75.43,292.43,87.09,18.17,1.51,19.69,67.4,25.99,13.36,3.57,0.143,3.47,0.0997,0.595,0.695,2.77,13.49,46.76
North America,2020-03-12,330863098,22459.0,1587,270,43,1587,313,1274,384.71,384.71,95.14,7.0,102.14,282.57,123.77,23.74,2.09,25.83,97.94,42.67,15.65,4.41,0.137,4.8,0.13,0.816,0.946,3.85,14.15,67.88
North America,2020-03-13,330863098,32397.0,2219,378,51,2219,429,1790,584.0,584.0,117.0,10.71,127.71,456.29,172.66,31.26,3.46,34.71,137.94,75.05,20.87,3.47,0.119,6.71,0.154,1.14,1.3,5.41,14.6,97.92
North America,2020-03-14,330863098,43104.0,2978,534,58,2978,592,2386,819.29,819.29,154.43,14.86,169.29,650.0,271.54,42.11,5.17,47.29,224.26,90.98,26.01,0.4,0.098,9.0,0.175,1.61,1.79,7.21,14.47,130.28
North America,2020-03-15,330863098,55081.0,3212,739,70,3212,809,2403,1146.43,1146.43,205.71,22.57,228.29,918.14,431.97,60.09,7.54,67.63,364.34,123.23,24.08,0.288,0.0865,9.71,0.212,2.23,2.45,7.26,17.15,166.48
North America,2020-03-16,330863098,78441.0,4682,930,97,4682,1027,3655,1725.57,1725.57,280.14,31.71,311.86,1413.71,541.97,91.31,9.46,100.77,441.2,156.03,15.36,-2.7826,0.0944,14.15,0.293,2.81,3.1,11.05,16.75,237.08
North America,2020-03-17,330863098,114734.0,6517,1228,132,6517,1360,5157,2544.57,2544.57,395.57,44.71,440.29,2104.29,739.94,129.43,11.43,140.86,599.09,163.06,17.09,-5.9451,0.0971,19.7,0.399,3.71,4.11,15.59,17.61,346.77
North America,2020-03-18,330863098,161790.0,9172,1637,191,9172,1828,7344,3293.86,3293.86,573.57,58.0,631.57,2662.29,952.83,180.86,14.51,195.37,757.46,151.85,6.95,-6.6002,0.104,27.72,0.577,4.95,5.52,22.2,17.64,488.99
North America,2020-03-19,330863098,218584.0,13666,2231,265,13666,2496,11170,4519.0,4519.0,801.57,72.0,873.57,3645.43,1086.86,245.66,18.51,264.17,822.69,176.43,-3.7166,-4.92,0.106,41.3,0.801,6.74,7.54,33.76,15.99,660.65
North America,2020-03-20,330863098,287132.0,20031,3147,364,20031,3511,16520,5910.57,5910.57,1110.0,95.14,1205.14,4705.43,1191.23,315.51,23.49,339.0,852.23,158.01,-8.9234,-7.5648,0.104,60.54,1.1,9.51,10.61,49.93,14.33,867.83
North America,2020-03-21,330863098,355988.0,26035,4549,464,26035,5013,21022,7159.86,7159.86,1508.43,124.29,1632.71,5527.14,1424.11,386.11,30.37,416.49,1007.63,137.45,-9.24,-5.3065,0.0926,78.69,1.4,13.75,15.15,63.54,13.67,1075.94
North America,2020-03-22,330863098,419326.0,34845,6350,574,34845,6924,27921,8500.71,8500.71,1973.14,162.14,2135.29,6365.43,1529.97,468.49,39.6,508.09,1021.89,118.45,-20.7337,-3.4809,0.0829,105.32,1.73,19.19,20.93,84.39,12.03,1267.37
North America,2020-03-23,330863098,490901.0,46056,8700,763,46056,9463,36593,10414.43,10414.43,2504.14,209.86,2714.0,7700.43,1640.09,550.77,50.17,600.94,1039.14,105.65,-19.5783,-1.2505,0.0806,139.2,2.31,26.29,28.6,110.6,10.66,1483.7
North America,2020-03-24,330863098,583508.0,56636,11787,1002,56636,12789,43847,12168.86,12168.86,3144.0,270.0,3414.0,8754.86,1679.09,637.51,57.94,695.46,983.63,72.76,-21.1211,-0.4037,0.0783,171.18,3.03,35.63,38.65,132.52,10.3,1763.59
North America,2020-03-25,330863098,685266.0,68677,15449,1326,68677,16775,51902,14111.0,14111.0,3863.86,346.0,4209.86,9901.14,1719.49,720.09,64.74,784.83,934.66,60.11,-15.176,1.17,0.079,207.57,4.01,46.69,50.7,156.87,9.98,2071.15
North America,2020-03-26,330863098,798913.0,86567,19760,1734,86567,21494,65073,15555.29,15555.29,4696.0,414.0,5110.0,10445.29,1787.91,790.37,79.46,869.83,918.09,31.85,-11.2583,-0.1726,0.0807,261.64,5.24,59.72,64.96,196.68,9.23,2414.63
