region,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Latin America & Caribbean,2020-01-22,652796593,681,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.0432039739521128
Latin America & Caribbean,2020-01-23,652796593,727,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.113670027992931
Latin America & Caribbean,2020-01-24,652796593,773,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.1841360820337492
Latin America & Caribbean,2020-01-25,652796593,788,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.207114143134016
Latin America & Caribbean,2020-01-26,652796593,822,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.2591977482946208
Latin America & Caribbean,2020-01-27,652796593,865,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.3250681901153856
Latin America & Caribbean,2020-01-28,652796593,916,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.4031935978562928
Latin America & Caribbean,2020-01-29,652796593,947,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.4506815907968442
Latin America & Caribbean,2020-01-30,652796593,986,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.510424549657538
Latin America & Caribbean,2020-01-31,652796593,1018,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.559444413338107
Latin America & Caribbean,2020-02-01,652796593,1026,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.5716993792582492
Latin America & Caribbean,2020-02-02,652796593,1038,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.5900818281384628
Latin America & Caribbean,2020-02-03,652796593,1052,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.6115280184987117
Latin America & Caribbean,2020-02-04,652796593,1103,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.6896534262396188
Latin America & Caribbean,2020-02-05,652796593,1149,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.760119480280437
Latin America & Caribbean,2020-02-06,652796593,1194,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.8290536635812376
Latin America & Caribbean,2020-02-07,652796593,1222,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.8719460443017355
Latin America & Caribbean,2020-02-08,652796593,1230,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.8842010102218778
Latin America & Caribbean,2020-02-09,652796593,1246,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,1.9087109420621624
Latin America & Caribbean,2020-02-10,652796593,1317,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,2.0174737646034253
Latin America & Caribbean,2020-02-11,652796593,1366,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,2.092535430864297
Latin America & Caribbean,2020-02-12,652796593,1407,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,Inf,2.155342131205026
