region,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
North America,2020-01-22,332049547,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.003011598747942276,0.0,0.0,0.0,0.003011598747942276,,
North America,2020-01-23,332049547,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.003011598747942276,0.0,0.0,0.0,0.003011598747942276,,
North America,2020-01-24,332049547,,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.006023197495884552,0.0,0.0,0.0,0.006023197495884552,,
North America,2020-01-25,332049547,,2,0,0,2,0,2,0.6666666666666666,,,,,,,,,,,,,,0.0,0.006023197495884552,0.0,0.0,0.0,0.006023197495884552,,
North America,2020-01-26,332049547,,5,0,0,5,0,5,0.6666666666666666,,,,,,,,,,,,,,0.0,0.015057993739711381,0.0,0.0,0.0,0.015057993739711381,,
North America,2020-01-27,332049547,,5,1,0,5,1,4,0.5,,,,,,,,,,,,,0.0,0.0,0.015057993739711381,0.0,0.003011598747942276,0.003011598747942276,0.012046394991769105,,
North America,2020-01-28,332049547,,5,1,0,5,1,4,0.8333333333333334,,,,,0.05555555555555556,,,,,,,,0.0,0.0,0.015057993739711381,0.0,0.003011598747942276,0.003011598747942276,0.012046394991769105,,
North America,2020-01-29,332049547,,5,2,0,5,2,3,0.5,,,,,0.05555555555555556,,,,,,,,0.0,0.0,0.015057993739711381,0.0,0.006023197495884552,0.006023197495884552,0.009034796243826828,,
North America,2020-01-30,332049547,,5,2,0,5,2,3,0.5,0.3333333333333333,,,,0.08333333333333333,,,,,-0.01388888888888889,,,0.0,0.0,0.015057993739711381,0.0,0.006023197495884552,0.006023197495884552,0.009034796243826828,,
North America,2020-01-31,332049547,,7,2,0,7,2,5,1.0,0.5,,,,-0.02777777777777779,,,,,-0.01388888888888889,,,0.0,0.0,0.021081191235595934,0.0,0.006023197495884552,0.006023197495884552,0.015057993739711381,,
