Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
United Kingdom,Anguilla,18.22,-63.0686,2020-04-29,3,3,0,3,0,,,,,,,,,,,,,,0.0,0.0,0.333
United Kingdom,Bermuda,32.31,-64.7505,2020-04-29,111,48,6,54,57,,,,,,,,,,,,,,0.111,0.0541,0.333
United Kingdom,British Virgin Islands,18.42,-64.64,2020-04-29,6,3,1,4,2,,,,,,,,,,,,,,0.25,0.167,0.333
United Kingdom,Cayman Islands,19.31,-81.2546,2020-04-29,73,10,1,11,62,,,,,,,,,,,,,,0.0909,0.0137,0.333
United Kingdom,Channel Islands,49.37,-2.3644,2020-04-29,537,386,38,424,113,,,,,,,,,,,,,,0.0896,0.0708,0.333
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,2020-04-29,13,11,0,11,2,,,,,,,,,,,,,,0.0,0.0,0.333
United Kingdom,Gibraltar,36.14,-5.3536,2020-04-29,141,131,0,131,10,,,,,,,,,,,,,,0.0,0.0,0.333
United Kingdom,Isle Of Man,54.24,-4.5481,2020-04-29,313,258,21,279,34,,,,,,,,,,,,,,0.0753,0.0671,0.333
United Kingdom,Montserrat,16.74,-62.1874,2020-04-29,11,2,1,3,8,,,,,,,,,,,,,,0.333,0.0909,0.333
United Kingdom,Turks And Caicos Islands,21.69,-71.7979,2020-04-29,12,5,1,6,6,,,,,,,,,,,,,,0.167,0.0833,0.333
United Kingdom,,55.38,-3.436,2020-04-29,165221,0,26097,26097,139124,,,,,,,,,,,,,,1.0,0.158,0.333
