Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
United Kingdom,Anguilla,18.22,-63.0686,2020-05-10,3,3,0,3,0,,,,,,,,,,,,,,0.0,0.0,0.277
United Kingdom,Bermuda,32.31,-64.7505,2020-05-10,118,64,7,71,47,,,,,,,,,,,,,,0.0986,0.0593,0.277
United Kingdom,British Virgin Islands,18.42,-64.64,2020-05-10,7,4,1,5,2,,,,,,,,,,,,,,0.2,0.143,0.277
United Kingdom,Cayman Islands,19.31,-81.2546,2020-05-10,81,41,1,42,39,,,,,,,,,,,,,,0.0238,0.0123,0.277
United Kingdom,Channel Islands,49.37,-2.3644,2020-05-10,545,447,41,488,57,,,,,,,,,,,,,,0.084,0.0752,0.277
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,2020-05-10,13,13,0,13,0,,,,,,,,,,,,,,0.0,0.0,0.277
United Kingdom,Gibraltar,36.14,-5.3536,2020-05-10,146,143,0,143,3,,,,,,,,,,,,,,0.0,0.0,0.277
United Kingdom,Isle Of Man,54.24,-4.5481,2020-05-10,330,271,23,294,36,,,,,,,,,,,,,,0.0782,0.0697,0.277
United Kingdom,Montserrat,16.74,-62.1874,2020-05-10,11,8,1,9,2,,,,,,,,,,,,,,0.111,0.0909,0.277
United Kingdom,Turks And Caicos Islands,21.69,-71.7979,2020-05-10,12,8,1,9,3,,,,,,,,,,,,,,0.111,0.0833,0.277
United Kingdom,,55.38,-3.436,2020-05-10,219183,0,31855,31855,187328,,,,,,,,,,,,,,1.0,0.145,0.277
