Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
France,French Guiana,3.93,-53.1258,2020-04-30,126,94,1,95,31,,,,,,,,,,,,,,0.0105,0.0079,0.334
France,French Polynesia,-17.6797,149.41,2020-04-30,58,50,0,50,8,,,,,,,,,,,,,,0.0,0.0,0.334
France,Guadeloupe,16.25,-61.5833,2020-04-30,151,95,12,107,44,,,,,,,,,,,,,,0.112,0.0795,0.334
France,Martinique,14.64,-61.0242,2020-04-30,178,83,14,97,81,,,,,,,,,,,,,,0.144,0.0787,0.334
France,Mayotte,-12.8275,45.17,2020-04-30,539,235,4,239,300,,,,,,,,,,,,,,0.0167,0.0074,0.334
France,New Caledonia,-20.9043,165.62,2020-04-30,18,17,0,17,1,,,,,,,,,,,,,,0.0,0.0,0.334
France,Reunion,-21.1351,55.25,2020-04-30,420,300,0,300,120,,,,,,,,,,,,,,0.0,0.0,0.334
France,Saint Barthelemy,17.9,-62.8333,2020-04-30,6,6,0,6,0,,,,,,,,,,,,,,0.0,0.0,0.334
France,Saint Pierre And Miquelon,46.89,-56.3159,2020-04-30,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.334
France,St Martin,18.07,-63.0501,2020-04-30,38,24,3,27,11,,,,,,,,,,,,,,0.111,0.0789,0.334
France,,46.23,2.21,2020-04-30,165764,48572,24345,72917,92847,,,,,,,,,,,,,,0.334,0.147,0.334
