Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-03-27,990,984,6,990,0,,,,,,,,,,,,,,,,0.0061,0.0061,0.034
China,Beijing,40.18,116.41,2020-03-27,569,408,8,416,153,,,,,,,,,,,,,,,,0.0192,0.0141,0.034
China,Chongqing,30.06,107.87,2020-03-27,578,570,6,576,2,,,,,,,,,,,,,,,,0.0104,0.0104,0.034
China,Fujian,26.08,117.99,2020-03-27,331,295,1,296,35,,,,,,,,,,,,,,,,0.0034,0.003,0.034
China,Gansu,37.81,101.06,2020-03-27,136,123,2,125,11,,,,,,,,,,,,,,,,0.016,0.0147,0.034
China,Guangdong,23.34,113.42,2020-03-27,1456,1337,8,1345,111,,,,,,,,,,,,,,,,0.0059,0.0055,0.034
China,Guangxi,23.83,108.79,2020-03-27,254,250,2,252,2,,,,,,,,,,,,,,,,0.0079,0.0079,0.034
China,Guizhou,26.82,106.87,2020-03-27,146,144,2,146,0,,,,,,,,,,,,,,,,0.0137,0.0137,0.034
China,Hainan,19.2,109.75,2020-03-27,168,168,6,174,-6,,,,,,,,,,,,,,,,0.0345,0.0357,0.034
China,Hebei,39.55,116.13,2020-03-27,319,310,6,316,3,,,,,,,,,,,,,,,,0.019,0.0188,0.034
China,Hong Kong,22.3,114.2,2020-03-27,519,110,4,114,405,,,,,,,,,,,,,,,,0.0351,0.0077,0.034
China,Hubei,30.98,112.27,2020-03-27,67801,61732,3174,64906,2895,,,,,,,,,,,,,,,,0.0489,0.0468,0.034
China,Hunan,27.61,111.71,2020-03-27,1018,1014,4,1018,0,,,,,,,,,,,,,,,,0.0039,0.0039,0.034
China,Inner Mongolia,44.09,113.94,2020-03-27,92,74,1,75,17,,,,,,,,,,,,,,,,0.0133,0.0109,0.034
China,Jiangsu,32.97,119.46,2020-03-27,641,631,0,631,10,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangxi,27.61,115.72,2020-03-27,936,934,1,935,1,,,,,,,,,,,,,,,,0.0011,0.0011,0.034
China,Jilin,43.67,126.19,2020-03-27,95,92,1,93,2,,,,,,,,,,,,,,,,0.0108,0.0105,0.034
China,Liaoning,41.3,122.61,2020-03-27,128,124,2,126,2,,,,,,,,,,,,,,,,0.0159,0.0156,0.034
China,Macau,22.17,113.55,2020-03-27,33,10,0,10,23,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Ningxia,37.27,106.17,2020-03-27,75,75,0,75,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Qinghai,35.75,96.0,2020-03-27,18,18,0,18,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shaanxi,35.19,108.87,2020-03-27,253,242,3,245,8,,,,,,,,,,,,,,,,0.0122,0.0119,0.034
China,Shandong,36.34,118.15,2020-03-27,772,752,7,759,13,,,,,,,,,,,,,,,,0.0092,0.0091,0.034
China,Shanxi,37.58,112.29,2020-03-27,135,133,0,133,2,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Sichuan,30.62,102.71,2020-03-27,548,536,3,539,9,,,,,,,,,,,,,,,,0.0056,0.0055,0.034
China,Tianjin,39.31,117.32,2020-03-27,155,133,3,136,19,,,,,,,,,,,,,,,,0.0221,0.0194,0.034
China,Tibet,31.69,88.09,2020-03-27,1,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Xinjiang,41.11,85.24,2020-03-27,76,73,3,76,0,,,,,,,,,,,,,,,,0.0395,0.0395,0.034
China,Zhejiang,29.18,120.09,2020-03-27,1247,1222,1,1223,24,,,,,,,,,,,,,,,,0.0008,0.0008,0.034
