Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
France,French Guiana,3.93,-53.1258,2020-03-25,28,6,0,6,22,,,,,,,,,,,,,,,,0.0,0.0,0.254
France,French Polynesia,-17.6797,149.41,2020-03-25,25,0,0,0,25,,,,,,,,,,,,,,,,NaN,0.0,0.254
France,Guadeloupe,16.25,-61.5833,2020-03-25,73,0,1,1,72,,,,,,,,,,,,,,,,1.0,0.0137,0.254
France,Martinique,14.64,-61.0242,2020-03-25,66,0,1,1,65,,,,,,,,,,,,,,,,1.0,0.0152,0.254
France,Mayotte,-12.8275,45.17,2020-03-25,36,0,0,0,36,,,,,,,,,,,,,,,,NaN,0.0,0.254
France,New Caledonia,-20.9043,165.62,2020-03-25,14,0,0,0,14,,,,,,,,,,,,,,,,NaN,0.0,0.254
France,Reunion,-21.1351,55.25,2020-03-25,111,1,0,1,110,,,,,,,,,,,,,,,,0.0,0.0,0.254
France,Saint Barthelemy,17.9,-62.8333,2020-03-25,3,0,0,0,3,,,,,,,,,,,,,,,,NaN,0.0,0.254
France,Saint Pierre And Miquelon,46.89,-56.3159,2020-03-25,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.254
France,St Martin,18.07,-63.0501,2020-03-25,11,0,0,0,11,,,,,,,,,,,,,,,,NaN,0.0,0.254
France,,46.23,2.21,2020-03-25,25233,3900,1331,5231,20002,,,,,,,,,,,,,,,,0.254,0.0527,0.254
