Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
France,French Guiana,3.93,-53.1258,2020-04-04,61,22,0,22,39,,,,,,,,,,,,,,,,0.0,0.0,0.329
France,French Polynesia,-17.6797,149.41,2020-04-04,40,0,0,0,40,,,,,,,,,,,,,,,,NaN,0.0,0.329
France,Guadeloupe,16.25,-61.5833,2020-04-04,134,24,7,31,103,,,,,,,,,,,,,,,,0.226,0.0522,0.329
France,Martinique,14.64,-61.0242,2020-04-04,145,27,3,30,115,,,,,,,,,,,,,,,,0.1,0.0207,0.329
France,Mayotte,-12.8275,45.17,2020-04-04,134,14,2,16,118,,,,,,,,,,,,,,,,0.125,0.0149,0.329
France,New Caledonia,-20.9043,165.62,2020-04-04,17,1,0,1,16,,,,,,,,,,,,,,,,0.0,0.0,0.329
France,Reunion,-21.1351,55.25,2020-04-04,334,40,0,40,294,,,,,,,,,,,,,,,,0.0,0.0,0.329
France,Saint Barthelemy,17.9,-62.8333,2020-04-04,6,1,0,1,5,,,,,,,,,,,,,,,,0.0,0.0,0.329
France,Saint Pierre And Miquelon,46.89,-56.3159,2020-04-04,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.329
France,St Martin,18.07,-63.0501,2020-04-04,24,5,2,7,17,,,,,,,,,,,,,,,,0.286,0.0833,0.329
France,,46.23,2.21,2020-04-04,68605,15438,7560,22998,45607,,,,,,,,,,,,,,,,0.329,0.11,0.329
