Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
France,French Guiana,3.93,-53.1258,2020-03-23,20,6,0,6,14,,,,,,,,,,,,,,,,0.0,0.0,0.281
France,French Polynesia,-17.6797,149.41,2020-03-23,18,0,0,0,18,,,,,,,,,,,,,,,,NaN,0.0,0.281
France,Guadeloupe,16.25,-61.5833,2020-03-23,62,0,1,1,61,,,,,,,,,,,,,,,,1.0,0.0161,0.281
France,Martinique,14.64,-61.0242,2020-03-23,53,0,1,1,52,,,,,,,,,,,,,,,,1.0,0.0189,0.281
France,Mayotte,-12.8275,45.17,2020-03-23,24,0,0,0,24,,,,,,,,,,,,,,,,NaN,0.0,0.281
France,New Caledonia,-20.9043,165.62,2020-03-23,8,0,0,0,8,,,,,,,,,,,,,,,,NaN,0.0,0.281
France,Reunion,-21.1351,55.25,2020-03-23,71,0,0,0,71,,,,,,,,,,,,,,,,NaN,0.0,0.281
France,Saint Barthelemy,17.9,-62.8333,2020-03-23,3,0,0,0,3,,,,,,,,,,,,,,,,NaN,0.0,0.281
France,Saint Pierre And Miquelon,46.89,-56.3159,2020-03-23,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.281
France,St Martin,18.07,-63.0501,2020-03-23,8,0,0,0,8,,,,,,,,,,,,,,,,NaN,0.0,0.281
France,,46.23,2.21,2020-03-23,19856,2200,860,3060,16796,,,,,,,,,,,,,,,,0.281,0.0433,0.281
