Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-03-21,990,984,6,990,0,,,,,,,,,,,,,,0.0061,0.0061,0.0137
China,Beijing,40.18,116.41,2020-03-21,504,396,8,404,100,,,,,,,,,,,,,,0.0198,0.0159,0.0137
China,Chongqing,30.06,107.87,2020-03-21,576,570,6,576,0,,,,,,,,,,,,,,0.0104,0.0104,0.0137
China,Fujian,26.08,117.99,2020-03-21,303,295,1,296,7,,,,,,,,,,,,,,0.0034,0.0033,0.0137
China,Gansu,37.81,101.06,2020-03-21,134,113,2,115,19,,,,,,,,,,,,,,0.0174,0.0149,0.0137
China,Guangdong,23.34,113.42,2020-03-21,1400,1325,8,1333,67,,,,,,,,,,,,,,0.006,0.0057,0.0137
China,Guangxi,23.83,108.79,2020-03-21,254,250,2,252,2,,,,,,,,,,,,,,0.0079,0.0079,0.0137
China,Guizhou,26.82,106.87,2020-03-21,146,144,2,146,0,,,,,,,,,,,,,,0.0137,0.0137,0.0137
China,Hainan,19.2,109.75,2020-03-21,168,161,6,167,1,,,,,,,,,,,,,,0.0359,0.0357,0.0137
China,Hebei,39.55,116.13,2020-03-21,318,310,6,316,2,,,,,,,,,,,,,,0.019,0.0189,0.0137
China,Heilongjiang,47.86,127.76,2020-03-21,484,463,13,476,8,,,,,,,,,,,,,,0.0273,0.0269,0.0137
China,Henan,33.88,113.61,2020-03-21,1273,1250,22,1272,1,,,,,,,,,,,,,,0.0173,0.0173,0.0137
China,Hong Kong,22.3,114.2,2020-03-21,273,98,4,102,171,,,,,,,,,,,,,,0.0392,0.0147,0.0137
China,Hubei,30.98,112.27,2020-03-21,67800,58946,3139,62085,5715,,,,,,,,,,,,,,0.0506,0.0463,0.0137
China,Hunan,27.61,111.71,2020-03-21,1018,1014,4,1018,0,,,,,,,,,,,,,,0.0039,0.0039,0.0137
China,Inner Mongolia,44.09,113.94,2020-03-21,75,74,1,75,0,,,,,,,,,,,,,,0.0133,0.0133,0.0137
China,Jiangsu,32.97,119.46,2020-03-21,631,631,0,631,0,,,,,,,,,,,,,,0.0,0.0,0.0137
China,Jiangxi,27.61,115.72,2020-03-21,935,934,1,935,0,,,,,,,,,,,,,,0.0011,0.0011,0.0137
China,Jilin,43.67,126.19,2020-03-21,93,92,1,93,0,,,,,,,,,,,,,,0.0108,0.0108,0.0137
China,Liaoning,41.3,122.61,2020-03-21,126,122,2,124,2,,,,,,,,,,,,,,0.0161,0.0159,0.0137
China,Macau,22.17,113.55,2020-03-21,18,10,0,10,8,,,,,,,,,,,,,,0.0,0.0,0.0137
China,Ningxia,37.27,106.17,2020-03-21,75,75,0,75,0,,,,,,,,,,,,,,0.0,0.0,0.0137
China,Qinghai,35.75,96.0,2020-03-21,18,18,0,18,0,,,,,,,,,,,,,,0.0,0.0,0.0137
China,Shaanxi,35.19,108.87,2020-03-21,248,239,3,242,6,,,,,,,,,,,,,,0.0124,0.0121,0.0137
China,Shandong,36.34,118.15,2020-03-21,764,749,7,756,8,,,,,,,,,,,,,,0.0093,0.0092,0.0137
China,Shanghai,31.2,121.45,2020-03-21,380,327,3,330,50,,,,,,,,,,,,,,0.0091,0.0079,0.0137
China,Shanxi,37.58,112.29,2020-03-21,133,133,0,133,0,,,,,,,,,,,,,,0.0,0.0,0.0137
China,Sichuan,30.62,102.71,2020-03-21,542,536,3,539,3,,,,,,,,,,,,,,0.0056,0.0055,0.0137
China,Tianjin,39.31,117.32,2020-03-21,137,133,3,136,1,,,,,,,,,,,,,,0.0221,0.0219,0.0137
China,Tibet,31.69,88.09,2020-03-21,1,1,0,1,0,,,,,,,,,,,,,,0.0,0.0,0.0137
China,Xinjiang,41.11,85.24,2020-03-21,76,73,3,76,0,,,,,,,,,,,,,,0.0395,0.0395,0.0137
China,Yunnan,24.97,101.49,2020-03-21,176,172,2,174,2,,,,,,,,,,,,,,0.0115,0.0114,0.0137
China,Zhejiang,29.18,120.09,2020-03-21,1236,1219,1,1220,16,,,,,,,,,,,,,,0.0008,0.0008,0.0137
