Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
United Kingdom,Anguilla,18.22,-63.0686,2020-05-12,3,3,0,3,0,,,,,,,,,,,,,,0.0,0.0,0.277
United Kingdom,Bermuda,32.31,-64.7505,2020-05-12,121,66,8,74,47,,,,,,,,,,,,,,0.108,0.0661,0.277
United Kingdom,British Virgin Islands,18.42,-64.64,2020-05-12,7,4,1,5,2,,,,,,,,,,,,,,0.2,0.143,0.277
United Kingdom,Cayman Islands,19.31,-81.2546,2020-05-12,85,50,1,51,34,,,,,,,,,,,,,,0.0196,0.0118,0.277
United Kingdom,Channel Islands,49.37,-2.3644,2020-05-12,547,455,42,497,50,,,,,,,,,,,,,,0.0845,0.0768,0.277
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,2020-05-12,13,13,0,13,0,,,,,,,,,,,,,,0.0,0.0,0.277
United Kingdom,Gibraltar,36.14,-5.3536,2020-05-12,148,144,0,144,4,,,,,,,,,,,,,,0.0,0.0,0.277
United Kingdom,Isle Of Man,54.24,-4.5481,2020-05-12,331,272,23,295,36,,,,,,,,,,,,,,0.078,0.0695,0.277
United Kingdom,Montserrat,16.74,-62.1874,2020-05-12,11,8,1,9,2,,,,,,,,,,,,,,0.111,0.0909,0.277
United Kingdom,Turks And Caicos Islands,21.69,-71.7979,2020-05-12,12,8,1,9,3,,,,,,,,,,,,,,0.111,0.0833,0.277
United Kingdom,,55.38,-3.436,2020-05-12,226463,0,32692,32692,193771,,,,,,,,,,,,,,1.0,0.144,0.277
