Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-02-11,860,105,4,109,751,,,,,,,,,,,,,,0.0367,0.0047,
China,Beijing,40.18,116.41,2020-02-11,342,48,3,51,291,,,,,,,,,,,,,,0.0588,0.0088,
China,Chongqing,30.06,107.87,2020-02-11,505,79,3,82,423,,,,,,,,,,,,,,0.0366,0.0059,
China,Fujian,26.08,117.99,2020-02-11,267,45,0,45,222,,,,,,,,,,,,,,0.0,0.0,
China,Gansu,37.81,101.06,2020-02-11,86,24,2,26,60,,,,,,,,,,,,,,0.0769,0.0233,
China,Guangdong,23.34,113.42,2020-02-11,1177,212,1,213,964,,,,,,,,,,,,,,0.0047,0.0008,
China,Guangxi,23.83,108.79,2020-02-11,215,33,1,34,181,,,,,,,,,,,,,,0.0294,0.0047,
China,Guizhou,26.82,106.87,2020-02-11,127,17,1,18,109,,,,,,,,,,,,,,0.0556,0.0079,
China,Hainan,19.2,109.75,2020-02-11,144,20,3,23,121,,,,,,,,,,,,,,0.13,0.0208,
China,Hebei,39.55,116.13,2020-02-11,239,48,2,50,189,,,,,,,,,,,,,,0.04,0.0084,
China,Heilongjiang,47.86,127.76,2020-02-11,360,28,8,36,324,,,,,,,,,,,,,,0.222,0.0222,
China,Henan,33.88,113.61,2020-02-11,1105,218,7,225,880,,,,,,,,,,,,,,0.0311,0.0063,
China,Hong Kong,22.3,114.2,2020-02-11,49,0,1,1,48,,,,,,,,,,,,,,1.0,0.0204,
China,Hubei,30.98,112.27,2020-02-11,33366,2639,1068,3707,29659,,,,,,,,,,,,,,0.288,0.032,
China,Hunan,27.61,111.71,2020-02-11,912,247,1,248,664,,,,,,,,,,,,,,0.004,0.0011,
China,Inner Mongolia,44.09,113.94,2020-02-11,58,5,0,5,53,,,,,,,,,,,,,,0.0,0.0,
China,Jiangsu,32.97,119.46,2020-02-11,515,93,0,93,422,,,,,,,,,,,,,,0.0,0.0,
China,Jiangxi,27.61,115.72,2020-02-11,804,128,1,129,675,,,,,,,,,,,,,,0.0078,0.0012,
China,Jilin,43.67,126.19,2020-02-11,81,18,1,19,62,,,,,,,,,,,,,,0.0526,0.0123,
China,Liaoning,41.3,122.61,2020-02-11,111,19,0,19,92,,,,,,,,,,,,,,0.0,0.0,
China,Macau,22.17,113.55,2020-02-11,10,1,0,1,9,,,,,,,,,,,,,,0.0,0.0,
China,Ningxia,37.27,106.17,2020-02-11,53,22,0,22,31,,,,,,,,,,,,,,0.0,0.0,
China,Qinghai,35.75,96.0,2020-02-11,18,5,0,5,13,,,,,,,,,,,,,,0.0,0.0,
China,Shaanxi,35.19,108.87,2020-02-11,219,32,0,32,187,,,,,,,,,,,,,,0.0,0.0,
China,Shandong,36.34,118.15,2020-02-11,487,80,1,81,406,,,,,,,,,,,,,,0.0123,0.0021,
China,Shanghai,31.2,121.45,2020-02-11,303,52,1,53,250,,,,,,,,,,,,,,0.0189,0.0033,
China,Shanxi,37.58,112.29,2020-02-11,124,30,0,30,94,,,,,,,,,,,,,,0.0,0.0,
China,Sichuan,30.62,102.71,2020-02-11,417,85,1,86,331,,,,,,,,,,,,,,0.0116,0.0024,
China,Tianjin,39.31,117.32,2020-02-11,106,10,2,12,94,,,,,,,,,,,,,,0.167,0.0189,
China,Tibet,31.69,88.09,2020-02-11,1,0,0,0,1,,,,,,,,,,,,,,,0.0,
China,Xinjiang,41.11,85.24,2020-02-11,55,3,0,3,52,,,,,,,,,,,,,,0.0,0.0,
China,Yunnan,24.97,101.49,2020-02-11,153,20,0,20,133,,,,,,,,,,,,,,0.0,0.0,
China,Zhejiang,29.18,120.09,2020-02-11,1117,270,0,270,847,,,,,,,,,,,,,,0.0,0.0,
