Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
United Kingdom,Anguilla,18.22,-63.0686,2020-03-31,2,0,0,0,2,,,,,,,,,,,,,,,,NaN,0.0,0.947
United Kingdom,Bermuda,32.31,-64.7505,2020-03-31,32,10,0,10,22,,,,,,,,,,,,,,,,0.0,0.0,0.947
United Kingdom,British Virgin Islands,18.42,-64.64,2020-03-31,3,0,0,0,3,,,,,,,,,,,,,,,,NaN,0.0,0.947
United Kingdom,Cayman Islands,19.31,-81.2546,2020-03-31,14,0,1,1,13,,,,,,,,,,,,,,,,1.0,0.0714,0.947
United Kingdom,Channel Islands,49.37,-2.3644,2020-03-31,141,0,3,3,138,,,,,,,,,,,,,,,,1.0,0.0213,0.947
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,2020-03-31,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.947
United Kingdom,Gibraltar,36.14,-5.3536,2020-03-31,69,34,0,34,35,,,,,,,,,,,,,,,,0.0,0.0,0.947
United Kingdom,Isle Of Man,54.24,-4.5481,2020-03-31,60,0,0,0,60,,,,,,,,,,,,,,,,NaN,0.0,0.947
United Kingdom,Montserrat,16.74,-62.1874,2020-03-31,5,0,0,0,5,,,,,,,,,,,,,,,,NaN,0.0,0.947
United Kingdom,Turks And Caicos Islands,21.69,-71.7979,2020-03-31,5,0,0,0,5,,,,,,,,,,,,,,,,NaN,0.0,0.947
United Kingdom,,55.38,-3.436,2020-03-31,25150,135,2425,2560,22590,,,,,,,,,,,,,,,,0.947,0.0964,0.947
