Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-03-13,990,984,6,990,0,,,,,,,,,,,,,,,,0.0061,0.0061,0.034
China,Beijing,40.18,116.41,2020-03-13,436,342,8,350,86,,,,,,,,,,,,,,,,0.0229,0.0183,0.034
China,Chongqing,30.06,107.87,2020-03-13,576,566,6,572,4,,,,,,,,,,,,,,,,0.0105,0.0104,0.034
China,Fujian,26.08,117.99,2020-03-13,296,295,1,296,0,,,,,,,,,,,,,,,,0.0034,0.0034,0.034
China,Gansu,37.81,101.06,2020-03-13,127,88,2,90,37,,,,,,,,,,,,,,,,0.0222,0.0157,0.034
China,Guangdong,23.34,113.42,2020-03-13,1356,1296,8,1304,52,,,,,,,,,,,,,,,,0.0061,0.0059,0.034
China,Guangxi,23.83,108.79,2020-03-13,252,243,2,245,7,,,,,,,,,,,,,,,,0.0082,0.0079,0.034
China,Guizhou,26.82,106.87,2020-03-13,146,140,2,142,4,,,,,,,,,,,,,,,,0.0141,0.0137,0.034
China,Hainan,19.2,109.75,2020-03-13,168,160,6,166,2,,,,,,,,,,,,,,,,0.0361,0.0357,0.034
China,Hebei,39.55,116.13,2020-03-13,318,310,6,316,2,,,,,,,,,,,,,,,,0.019,0.0189,0.034
China,Hong Kong,22.3,114.2,2020-03-13,134,77,4,81,53,,,,,,,,,,,,,,,,0.0494,0.0299,0.034
China,Hubei,30.98,112.27,2020-03-13,67786,51553,3062,54615,13171,,,,,,,,,,,,,,,,0.0561,0.0452,0.034
China,Hunan,27.61,111.71,2020-03-13,1018,1005,4,1009,9,,,,,,,,,,,,,,,,0.004,0.0039,0.034
China,Inner Mongolia,44.09,113.94,2020-03-13,75,71,1,72,3,,,,,,,,,,,,,,,,0.0139,0.0133,0.034
China,Jiangsu,32.97,119.46,2020-03-13,631,630,0,630,1,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangxi,27.61,115.72,2020-03-13,935,934,1,935,0,,,,,,,,,,,,,,,,0.0011,0.0011,0.034
China,Jilin,43.67,126.19,2020-03-13,93,91,1,92,1,,,,,,,,,,,,,,,,0.0109,0.0108,0.034
China,Liaoning,41.3,122.61,2020-03-13,125,112,1,113,12,,,,,,,,,,,,,,,,0.0088,0.008,0.034
China,Macau,22.17,113.55,2020-03-13,10,10,0,10,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Ningxia,37.27,106.17,2020-03-13,75,72,0,72,3,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Qinghai,35.75,96.0,2020-03-13,18,18,0,18,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shaanxi,35.19,108.87,2020-03-13,245,232,2,234,11,,,,,,,,,,,,,,,,0.0085,0.0082,0.034
China,Shandong,36.34,118.15,2020-03-13,760,739,7,746,14,,,,,,,,,,,,,,,,0.0094,0.0092,0.034
China,Shanxi,37.58,112.29,2020-03-13,133,133,0,133,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Sichuan,30.62,102.71,2020-03-13,539,503,3,506,33,,,,,,,,,,,,,,,,0.0059,0.0056,0.034
China,Tianjin,39.31,117.32,2020-03-13,136,132,3,135,1,,,,,,,,,,,,,,,,0.0222,0.0221,0.034
China,Tibet,31.69,88.09,2020-03-13,1,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Xinjiang,41.11,85.24,2020-03-13,76,73,3,76,0,,,,,,,,,,,,,,,,0.0395,0.0395,0.034
China,Zhejiang,29.18,120.09,2020-03-13,1215,1197,1,1198,17,,,,,,,,,,,,,,,,0.0008,0.0008,0.034
