Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-02-18,982,361,6,367,615,,,,,,,,,,,,,,0.0163,0.0061,
China,Beijing,40.18,116.41,2020-02-18,387,122,4,126,261,,,,,,,,,,,,,,0.0317,0.0103,
China,Chongqing,30.06,107.87,2020-02-18,555,254,5,259,296,,,,,,,,,,,,,,0.0193,0.009,
China,Fujian,26.08,117.99,2020-02-18,292,93,0,93,199,,,,,,,,,,,,,,0.0,0.0,
China,Gansu,37.81,101.06,2020-02-18,91,62,2,64,27,,,,,,,,,,,,,,0.0312,0.022,
China,Guangdong,23.34,113.42,2020-02-18,1328,565,4,569,759,,,,,,,,,,,,,,0.007,0.003,
China,Guangxi,23.83,108.79,2020-02-18,242,69,2,71,171,,,,,,,,,,,,,,0.0282,0.0083,
China,Guizhou,26.82,106.87,2020-02-18,146,66,2,68,78,,,,,,,,,,,,,,0.0294,0.0137,
China,Hainan,19.2,109.75,2020-02-18,163,79,4,83,80,,,,,,,,,,,,,,0.0482,0.0245,
China,Hebei,39.55,116.13,2020-02-18,306,136,4,140,166,,,,,,,,,,,,,,0.0286,0.0131,
China,Heilongjiang,47.86,127.76,2020-02-18,464,111,11,122,342,,,,,,,,,,,,,,0.0902,0.0237,
China,Henan,33.88,113.61,2020-02-18,1257,522,19,541,716,,,,,,,,,,,,,,0.0351,0.0151,
China,Hong Kong,22.3,114.2,2020-02-18,62,2,1,3,59,,,,,,,,,,,,,,0.333,0.0161,
China,Hubei,30.98,112.27,2020-02-18,61682,9128,1921,11049,50633,,,,,,,,,,,,,,0.174,0.0311,
China,Hunan,27.61,111.71,2020-02-18,1007,527,4,531,476,,,,,,,,,,,,,,0.0075,0.004,
China,Inner Mongolia,44.09,113.94,2020-02-18,73,8,0,8,65,,,,,,,,,,,,,,0.0,0.0,
China,Jiangsu,32.97,119.46,2020-02-18,629,280,0,280,349,,,,,,,,,,,,,,0.0,0.0,
China,Jiangxi,27.61,115.72,2020-02-18,933,310,1,311,622,,,,,,,,,,,,,,0.0032,0.0011,
China,Jilin,43.67,126.19,2020-02-18,89,36,1,37,52,,,,,,,,,,,,,,0.027,0.0112,
China,Liaoning,41.3,122.61,2020-02-18,121,53,1,54,67,,,,,,,,,,,,,,0.0185,0.0083,
China,Macau,22.17,113.55,2020-02-18,10,5,0,5,5,,,,,,,,,,,,,,0.0,0.0,
China,Ningxia,37.27,106.17,2020-02-18,70,42,0,42,28,,,,,,,,,,,,,,0.0,0.0,
China,Qinghai,35.75,96.0,2020-02-18,18,15,0,15,3,,,,,,,,,,,,,,0.0,0.0,
China,Shaanxi,35.19,108.87,2020-02-18,240,89,0,89,151,,,,,,,,,,,,,,0.0,0.0,
China,Shandong,36.34,118.15,2020-02-18,543,211,3,214,329,,,,,,,,,,,,,,0.014,0.0055,
China,Shanghai,31.2,121.45,2020-02-18,333,177,1,178,155,,,,,,,,,,,,,,0.0056,0.003,
China,Shanxi,37.58,112.29,2020-02-18,131,61,0,61,70,,,,,,,,,,,,,,0.0,0.0,
China,Sichuan,30.62,102.71,2020-02-18,508,169,3,172,336,,,,,,,,,,,,,,0.0174,0.0059,
China,Tianjin,39.31,117.32,2020-02-18,128,48,3,51,77,,,,,,,,,,,,,,0.0588,0.0234,
China,Tibet,31.69,88.09,2020-02-18,1,1,0,1,0,,,,,,,,,,,,,,0.0,0.0,
China,Xinjiang,41.11,85.24,2020-02-18,76,12,1,13,63,,,,,,,,,,,,,,0.0769,0.0132,
China,Yunnan,24.97,101.49,2020-02-18,172,57,0,57,115,,,,,,,,,,,,,,0.0,0.0,
China,Zhejiang,29.18,120.09,2020-02-18,1172,535,0,535,637,,,,,,,,,,,,,,0.0,0.0,
