Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-02-06,591,34,0,34,557,,,,,,,,,,,,,,0.0,0.0,0.034
China,Beijing,40.18,116.41,2020-02-06,274,31,1,32,242,,,,,,,,,,,,,,0.0312,0.0036,0.034
China,Chongqing,30.06,107.87,2020-02-06,411,24,2,26,385,,,,,,,,,,,,,,0.0769,0.0049,0.034
China,Fujian,26.08,117.99,2020-02-06,215,14,0,14,201,,,,,,,,,,,,,,0.0,0.0,0.034
China,Gansu,37.81,101.06,2020-02-06,62,6,0,6,56,,,,,,,,,,,,,,0.0,0.0,0.034
China,Guangdong,23.34,113.42,2020-02-06,970,69,0,69,901,,,,,,,,,,,,,,0.0,0.0,0.034
China,Guangxi,23.83,108.79,2020-02-06,168,14,0,14,154,,,,,,,,,,,,,,0.0,0.0,0.034
China,Guizhou,26.82,106.87,2020-02-06,71,6,1,7,64,,,,,,,,,,,,,,0.143,0.0141,0.034
China,Hainan,19.2,109.75,2020-02-06,106,8,1,9,97,,,,,,,,,,,,,,0.111,0.0094,0.034
China,Hebei,39.55,116.13,2020-02-06,157,13,1,14,143,,,,,,,,,,,,,,0.0714,0.0064,0.034
China,Hong Kong,22.3,114.2,2020-02-06,24,0,1,1,23,,,,,,,,,,,,,,1.0,0.0417,0.034
China,Hubei,30.98,112.27,2020-02-06,22112,817,618,1435,20677,,,,,,,,,,,,,,0.431,0.0279,0.034
China,Hunan,27.61,111.71,2020-02-06,711,81,0,81,630,,,,,,,,,,,,,,0.0,0.0,0.034
China,Inner Mongolia,44.09,113.94,2020-02-06,46,4,0,4,42,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangsu,32.97,119.46,2020-02-06,373,34,0,34,339,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangxi,27.61,115.72,2020-02-06,600,37,0,37,563,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jilin,43.67,126.19,2020-02-06,59,4,0,4,55,,,,,,,,,,,,,,0.0,0.0,0.034
China,Liaoning,41.3,122.61,2020-02-06,94,5,0,5,89,,,,,,,,,,,,,,0.0,0.0,0.034
China,Macau,22.17,113.55,2020-02-06,10,1,0,1,9,,,,,,,,,,,,,,0.0,0.0,0.034
China,Ningxia,37.27,106.17,2020-02-06,40,1,0,1,39,,,,,,,,,,,,,,0.0,0.0,0.034
China,Qinghai,35.75,96.0,2020-02-06,18,3,0,3,15,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shaanxi,35.19,108.87,2020-02-06,173,9,0,9,164,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shandong,36.34,118.15,2020-02-06,347,27,0,27,320,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shanxi,37.58,112.29,2020-02-06,96,12,0,12,84,,,,,,,,,,,,,,0.0,0.0,0.034
China,Sichuan,30.62,102.71,2020-02-06,321,31,1,32,289,,,,,,,,,,,,,,0.0312,0.0031,0.034
China,Tianjin,39.31,117.32,2020-02-06,79,2,1,3,76,,,,,,,,,,,,,,0.333,0.0127,0.034
China,Tibet,31.69,88.09,2020-02-06,1,0,0,0,1,,,,,,,,,,,,,,NaN,0.0,0.034
China,Xinjiang,41.11,85.24,2020-02-06,36,0,0,0,36,,,,,,,,,,,,,,NaN,0.0,0.034
China,Zhejiang,29.18,120.09,2020-02-06,954,94,0,94,860,,,,,,,,,,,,,,0.0,0.0,0.034
