Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
France,French Guiana,3.93,-53.1258,2020-04-15,86,51,0,51,35,,,,,,,,,,,,,,,,0.0,0.0,0.36
France,French Polynesia,-17.6797,149.41,2020-04-15,55,0,0,0,55,,,,,,,,,,,,,,,,NaN,0.0,0.36
France,Guadeloupe,16.25,-61.5833,2020-04-15,145,67,8,75,70,,,,,,,,,,,,,,,,0.107,0.0552,0.36
France,Martinique,14.64,-61.0242,2020-04-15,158,73,8,81,77,,,,,,,,,,,,,,,,0.0988,0.0506,0.36
France,Mayotte,-12.8275,45.17,2020-04-15,217,69,3,72,145,,,,,,,,,,,,,,,,0.0417,0.0138,0.36
France,New Caledonia,-20.9043,165.62,2020-04-15,18,1,0,1,17,,,,,,,,,,,,,,,,0.0,0.0,0.36
France,Reunion,-21.1351,55.25,2020-04-15,391,237,0,237,154,,,,,,,,,,,,,,,,0.0,0.0,0.36
France,Saint Barthelemy,17.9,-62.8333,2020-04-15,6,4,0,4,2,,,,,,,,,,,,,,,,0.0,0.0,0.36
France,Saint Pierre And Miquelon,46.89,-56.3159,2020-04-15,1,0,0,0,1,,,,,,,,,,,,,,,,NaN,0.0,0.36
France,St Martin,18.07,-63.0501,2020-04-15,35,13,2,15,20,,,,,,,,,,,,,,,,0.133,0.0571,0.36
France,,46.23,2.21,2020-04-15,132473,30440,17148,47588,84885,,,,,,,,,,,,,,,,0.36,0.129,0.36
