Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-05-10,991,985,6,991,0,,,,,,,,,,,,,,0.0061,0.0061,0.034
China,Beijing,40.18,116.41,2020-05-10,593,568,9,577,16,,,,,,,,,,,,,,0.0156,0.0152,0.034
China,Chongqing,30.06,107.87,2020-05-10,579,573,6,579,0,,,,,,,,,,,,,,0.0104,0.0104,0.034
China,Fujian,26.08,117.99,2020-05-10,356,354,1,355,1,,,,,,,,,,,,,,0.0028,0.0028,0.034
China,Gansu,37.81,101.06,2020-05-10,139,137,2,139,0,,,,,,,,,,,,,,0.0144,0.0144,0.034
China,Guangdong,23.34,113.42,2020-05-10,1589,1577,8,1585,4,,,,,,,,,,,,,,0.005,0.005,0.034
China,Guangxi,23.83,108.79,2020-05-10,254,252,2,254,0,,,,,,,,,,,,,,0.0079,0.0079,0.034
China,Guizhou,26.82,106.87,2020-05-10,147,145,2,147,0,,,,,,,,,,,,,,0.0136,0.0136,0.034
China,Hainan,19.2,109.75,2020-05-10,168,162,6,168,0,,,,,,,,,,,,,,0.0357,0.0357,0.034
China,Hebei,39.55,116.13,2020-05-10,328,321,6,327,1,,,,,,,,,,,,,,0.0183,0.0183,0.034
China,Heilongjiang,47.86,127.76,2020-05-10,945,904,13,917,28,,,,,,,,,,,,,,0.0142,0.0138,0.034
China,Henan,33.88,113.61,2020-05-10,1276,1254,22,1276,0,,,,,,,,,,,,,,0.0172,0.0172,0.034
China,Hong Kong,22.3,114.2,2020-05-10,1047,982,4,986,61,,,,,,,,,,,,,,0.0041,0.0038,0.034
China,Hubei,30.98,112.27,2020-05-10,68134,63616,4512,68128,6,,,,,,,,,,,,,,0.0662,0.0662,0.034
China,Hunan,27.61,111.71,2020-05-10,1019,1015,4,1019,0,,,,,,,,,,,,,,0.0039,0.0039,0.034
China,Inner Mongolia,44.09,113.94,2020-05-10,208,187,1,188,20,,,,,,,,,,,,,,0.0053,0.0048,0.034
China,Jiangsu,32.97,119.46,2020-05-10,653,653,0,653,0,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangxi,27.61,115.72,2020-05-10,937,936,1,937,0,,,,,,,,,,,,,,0.0011,0.0011,0.034
China,Jilin,43.67,126.19,2020-05-10,127,105,1,106,21,,,,,,,,,,,,,,0.0094,0.0079,0.034
China,Liaoning,41.3,122.61,2020-05-10,147,144,2,146,1,,,,,,,,,,,,,,0.0137,0.0136,0.034
China,Macau,22.17,113.55,2020-05-10,45,41,0,41,4,,,,,,,,,,,,,,0.0,0.0,0.034
China,Ningxia,37.27,106.17,2020-05-10,75,75,0,75,0,,,,,,,,,,,,,,0.0,0.0,0.034
China,Qinghai,35.75,96.0,2020-05-10,18,18,0,18,0,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shaanxi,35.19,108.87,2020-05-10,308,294,3,297,11,,,,,,,,,,,,,,0.0101,0.0097,0.034
China,Shandong,36.34,118.15,2020-05-10,788,777,7,784,4,,,,,,,,,,,,,,0.0089,0.0089,0.034
China,Shanghai,31.2,121.45,2020-05-10,659,627,7,634,25,,,,,,,,,,,,,,0.011,0.0106,0.034
China,Shanxi,37.58,112.29,2020-05-10,198,197,0,197,1,,,,,,,,,,,,,,0.0,0.0,0.034
China,Sichuan,30.62,102.71,2020-05-10,561,558,3,561,0,,,,,,,,,,,,,,0.0053,0.0053,0.034
China,Tianjin,39.31,117.32,2020-05-10,191,186,3,189,2,,,,,,,,,,,,,,0.0159,0.0157,0.034
China,Tibet,31.69,88.09,2020-05-10,1,1,0,1,0,,,,,,,,,,,,,,0.0,0.0,0.034
China,Xinjiang,41.11,85.24,2020-05-10,76,73,3,76,0,,,,,,,,,,,,,,0.0395,0.0395,0.034
China,Yunnan,24.97,101.49,2020-05-10,185,183,2,185,0,,,,,,,,,,,,,,0.0108,0.0108,0.034
China,Zhejiang,29.18,120.09,2020-05-10,1268,1267,1,1268,0,,,,,,,,,,,,,,0.0008,0.0008,0.034
