Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-04-12,991,984,6,990,1,,,,,,,,,,,,,,,,0.0061,0.0061,0.034
China,Beijing,40.18,116.41,2020-04-12,589,479,8,487,102,,,,,,,,,,,,,,,,0.0164,0.0136,0.034
China,Chongqing,30.06,107.87,2020-04-12,579,570,6,576,3,,,,,,,,,,,,,,,,0.0104,0.0104,0.034
China,Fujian,26.08,117.99,2020-04-12,352,321,1,322,30,,,,,,,,,,,,,,,,0.0031,0.0028,0.034
China,Gansu,37.81,101.06,2020-04-12,139,135,2,137,2,,,,,,,,,,,,,,,,0.0146,0.0144,0.034
China,Guangdong,23.34,113.42,2020-04-12,1552,1443,8,1451,101,,,,,,,,,,,,,,,,0.0055,0.0052,0.034
China,Guangxi,23.83,108.79,2020-04-12,254,252,2,254,0,,,,,,,,,,,,,,,,0.0079,0.0079,0.034
China,Guizhou,26.82,106.87,2020-04-12,146,144,2,146,0,,,,,,,,,,,,,,,,0.0137,0.0137,0.034
China,Hainan,19.2,109.75,2020-04-12,168,162,6,168,0,,,,,,,,,,,,,,,,0.0357,0.0357,0.034
China,Hebei,39.55,116.13,2020-04-12,327,313,6,319,8,,,,,,,,,,,,,,,,0.0188,0.0183,0.034
China,Hong Kong,22.3,114.2,2020-04-12,1004,360,4,364,640,,,,,,,,,,,,,,,,0.011,0.004,0.034
China,Hubei,30.98,112.27,2020-04-12,67803,64281,3219,67500,303,,,,,,,,,,,,,,,,0.0477,0.0475,0.034
China,Hunan,27.61,111.71,2020-04-12,1019,1014,4,1018,1,,,,,,,,,,,,,,,,0.0039,0.0039,0.034
China,Inner Mongolia,44.09,113.94,2020-04-12,189,83,1,84,105,,,,,,,,,,,,,,,,0.0119,0.0053,0.034
China,Jiangsu,32.97,119.46,2020-04-12,653,638,0,638,15,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangxi,27.61,115.72,2020-04-12,937,936,1,937,0,,,,,,,,,,,,,,,,0.0011,0.0011,0.034
China,Jilin,43.67,126.19,2020-04-12,99,96,1,97,2,,,,,,,,,,,,,,,,0.0103,0.0101,0.034
China,Liaoning,41.3,122.61,2020-04-12,145,136,2,138,7,,,,,,,,,,,,,,,,0.0145,0.0138,0.034
China,Macau,22.17,113.55,2020-04-12,45,13,0,13,32,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Ningxia,37.27,106.17,2020-04-12,75,75,0,75,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Qinghai,35.75,96.0,2020-04-12,18,18,0,18,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shaanxi,35.19,108.87,2020-04-12,256,248,3,251,5,,,,,,,,,,,,,,,,0.012,0.0117,0.034
China,Shandong,36.34,118.15,2020-04-12,784,757,7,764,20,,,,,,,,,,,,,,,,0.0092,0.0089,0.034
China,Shanxi,37.58,112.29,2020-04-12,172,135,0,135,37,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Sichuan,30.62,102.71,2020-04-12,560,547,3,550,10,,,,,,,,,,,,,,,,0.0055,0.0054,0.034
China,Tianjin,39.31,117.32,2020-04-12,183,161,3,164,19,,,,,,,,,,,,,,,,0.0183,0.0164,0.034
China,Tibet,31.69,88.09,2020-04-12,1,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Xinjiang,41.11,85.24,2020-04-12,76,73,3,76,0,,,,,,,,,,,,,,,,0.0395,0.0395,0.034
China,Zhejiang,29.18,120.09,2020-04-12,1267,1238,1,1239,28,,,,,,,,,,,,,,,,0.0008,0.0008,0.034
