date,state,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-16,CE,9,0,44,9223399,23,19.3,174,44,130,,,,,,,,,,,,,,0.0,0.0,18.865,0.0,4.77,4.77,14.095
2020-03-17,CE,10,0,38,9223399,23,19.3,193,38,155,,,,,,,,,,,,,,0.0,0.0,20.925,0.0,4.12,4.12,16.805
2020-03-18,CE,19,0,85,9223399,23,19.3,367,85,282,,,,,,,,,,,,,,0.0,0.0,39.79,0.0,9.216,9.216,30.574
2020-03-19,CE,24,0,84,9223399,23,19.3,463,84,379,373.0,67.333,,,,,,,,,,,,0.0,0.0,50.198,0.0,9.107,9.107,41.091
2020-03-20,CE,68,0,261,9223399,23,19.3,1312,261,1051,495.333,103.333,,,,,,,,,,,,0.0,0.0,142.247,0.0,28.298,28.298,113.949
2020-03-21,CE,84,0,341,9223399,23,19.3,1621,341,1280,533.833,128.0,,,,,,,,,,,,0.0,0.0,175.749,0.0,36.971,36.971,138.777
2020-03-22,CE,125,0,448,9223399,23,19.3,2412,448,1964,601.5,169.333,,,,43.472,32.028,,,,,,,0.0,0.0,261.509,0.0,48.572,48.572,212.937
2020-03-23,CE,164,0,658,9223399,23,19.3,3165,658,2507,543.667,175.333,,,,22.0,32.139,,,,,,,0.0,0.0,343.149,0.0,71.34,71.34,271.809
2020-03-24,CE,185,0,853,9223399,23,19.3,3570,853,2717,637.0,221.333,,,,16.667,32.917,,,,-5.64583,,,0.0,0.0,387.059,0.0,92.482,92.482,294.577
2020-03-25,CE,211,0,1100,9223399,23,19.3,4072,1100,2972,633.833,259.5,,,,1.611,16.194,,,,5.618,,,0.0,0.0,441.486,0.0,119.262,119.262,322.224
2020-03-26,CE,237,3,1313,9223399,23,19.3,4574,1316,3258,627.333,296.167,,,,20.889,15.444,,,,14.451,,,0.00228,0.00066,495.913,0.3253,142.355,142.681,353.232
2020-03-27,CE,282,3,1669,9223399,23,19.3,5443,1672,3771,633.833,325.5,,,,44.472,18.917,,,,25.188,11.028,,0.00179,0.00055,590.13,0.3253,180.953,181.278,408.851
