Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,2020-04-12,33.0,65.0,39653765,,,607,32,18,50,557,,,,,,,,,,,,,,,,0.36,0.0297,0.034,15.31,0.454,0.807,1.26,14.05,,
Albania,2020-04-12,41.15,20.17,2842650,,,446,217,23,240,206,,,,,,,,,,,,,,,,0.0958,0.0516,0.034,156.9,8.09,76.34,84.43,72.47,,
Algeria,2020-04-12,28.03,1.66,43697354,,,1914,591,293,884,1030,,,,,,,,,,,,,,,,0.331,0.153,0.034,43.8,6.71,13.52,20.23,23.57,,
Andorra,2020-04-12,42.51,1.52,78418,,,638,128,29,157,481,,,,,,,,,,,,,,,,0.185,0.0455,0.034,8135.89,369.81,1632.28,2002.09,6133.8,,
Angola,2020-04-12,-11.2027,17.87,33046756,,,19,4,2,6,13,,,,,,,,,,,,,,,,0.333,0.105,0.034,0.575,0.0605,0.121,0.182,0.393,,
Antigua And Barbuda,2020-04-12,17.06,-61.7964,98848,,,21,0,2,2,19,,,,,,,,,,,,,,,,1.0,0.0952,0.034,212.45,20.23,0.0,20.23,192.21,,
Argentina,2020-04-12,-38.4161,-63.6167,45433446,18027,Samples Tested,2142,468,90,558,1584,,,,,,,,,,,,,,,,0.161,0.042,0.034,47.15,1.98,10.3,12.28,34.86,8.42,396.78
Armenia,2020-04-12,40.07,45.04,2938968,,,1013,197,13,210,803,,,,,,,,,,,,,,,,0.0619,0.0128,0.034,344.68,4.42,67.03,71.45,273.23,,
Australia,2020-04-12,-31.9962,141.23,25731295,353941,Samples Tested,6315,1806,60,1866,4449,,,,,,,,,,,,,,,,0.0322,0.0095,0.034,245.42,2.33,70.19,72.52,172.9,56.05,13755.27
Austria,2020-04-12,47.52,14.55,8937767,144877,Samples Tested,13945,6987,350,7337,6608,,,,,,,,,,,,,,,,0.0477,0.0251,0.034,1560.23,39.16,781.74,820.9,739.33,10.39,16209.53
