Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,2020-03-27,33.0,65.0,39653765,,,110,2,4,6,104,,,,,,,,,,,,,,0.667,0.0364,0.034,2.77,0.101,0.0504,0.151,2.62,,
Albania,2020-03-27,41.15,20.17,2842650,,,186,31,8,39,147,,,,,,,,,,,,,,0.205,0.043,0.034,65.43,2.81,10.91,13.72,51.71,,
Algeria,2020-03-27,28.03,1.66,43697354,,,409,29,26,55,354,,,,,,,,,,,,,,0.473,0.0636,0.034,9.36,0.595,0.664,1.26,8.1,,
Andorra,2020-03-27,42.51,1.52,78418,,,267,1,3,4,263,,,,,,,,,,,,,,0.75,0.0112,0.034,3404.83,38.26,12.75,51.01,3353.82,,
Angola,2020-03-27,-11.2027,17.87,33046756,,,4,0,0,0,4,,,,,,,,,,,,,,,0.0,0.034,0.121,0.0,0.0,0.0,0.121,,
Antigua And Barbuda,2020-03-27,17.06,-61.7964,98848,,,7,0,0,0,7,,,,,,,,,,,,,,,0.0,0.034,70.82,0.0,0.0,0.0,70.82,,
Argentina,2020-03-27,-38.4161,-63.6167,45433446,,,589,72,13,85,504,,,,,,,,,,,,,,0.153,0.0221,0.034,12.96,0.286,1.58,1.87,11.09,,
Armenia,2020-03-27,40.07,45.04,2938968,,,329,28,1,29,300,,,,,,,,,,,,,,0.0345,0.003,0.034,111.94,0.34,9.53,9.87,102.08,,
Azerbaijan,2020-03-27,40.14,47.58,10175641,,,165,15,3,18,147,,,,,,,,,,,,,,0.167,0.0182,0.034,16.22,0.295,1.47,1.77,14.45,,
Bahamas,2020-03-27,25.03,-77.3963,396839,,,10,1,0,1,9,,,,,,,,,,,,,,0.0,0.0,0.034,25.2,0.0,2.52,2.52,22.68,,
