Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,2020-03-04,33.0,65.0,39653765,,,1,0,0,0,1,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.0252,0.0,0.0,0.0,0.0252,,
Albania,2020-03-04,41.15,20.17,2842650,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Algeria,2020-03-04,28.03,1.66,43697354,,,12,0,0,0,12,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.275,0.0,0.0,0.0,0.275,,
Andorra,2020-03-04,42.51,1.52,78418,,,1,0,0,0,1,,,,,,,,,,,,,,,,NaN,0.0,0.034,12.75,0.0,0.0,0.0,12.75,,
Angola,2020-03-04,-11.2027,17.87,33046756,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Antigua And Barbuda,2020-03-04,17.06,-61.7964,98848,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Argentina,2020-03-04,-38.4161,-63.6167,45433446,,,1,0,0,0,1,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.022,0.0,0.0,0.0,0.022,,
Armenia,2020-03-04,40.07,45.04,2938968,,,1,0,0,0,1,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.34,0.0,0.0,0.0,0.34,,
Australia,2020-03-04,-31.9962,141.23,25731295,,,52,11,2,13,39,,,,,,,,,,,,,,,,0.154,0.0385,0.034,2.02,0.0777,0.427,0.505,1.52,,
Austria,2020-03-04,47.52,14.55,8937767,3138,Samples Tested,29,0,0,0,29,,,,,,,,,,,,,,,,NaN,0.0,0.034,3.24,0.0,0.0,0.0,3.24,108.21,351.09
Azerbaijan,2020-03-04,40.14,47.58,10175641,,,3,0,0,0,3,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.295,0.0,0.0,0.0,0.295,,
Bahamas,2020-03-04,25.03,-77.3963,396839,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Bahrain,2020-03-04,26.03,50.55,1726667,,,52,0,0,0,52,,,,,,,,,,,,,,,,NaN,0.0,0.034,30.12,0.0,0.0,0.0,30.12,,
