Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,2020-03-12,33.0,65.0,39653765,,,7,0,0,0,7,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.177,0.0,0.0,0.0,0.177,,
Albania,2020-03-12,41.15,20.17,2842650,,,23,0,1,1,22,,,,,,,,,,,,,,,,1.0,0.0435,0.034,8.09,0.352,0.0,0.352,7.74,,
Algeria,2020-03-12,28.03,1.66,43697354,,,24,8,1,9,15,,,,,,,,,,,,,,,,0.111,0.0417,0.034,0.549,0.0229,0.183,0.206,0.343,,
Andorra,2020-03-12,42.51,1.52,78418,,,1,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.034,12.75,0.0,12.75,12.75,0.0,,
Angola,2020-03-12,-11.2027,17.87,33046756,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Antigua And Barbuda,2020-03-12,17.06,-61.7964,98848,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Argentina,2020-03-12,-38.4161,-63.6167,45433446,,,19,0,1,1,18,,,,,,,,,,,,,,,,1.0,0.0526,0.034,0.418,0.022,0.0,0.022,0.396,,
Armenia,2020-03-12,40.07,45.04,2938968,,,4,0,0,0,4,,,,,,,,,,,,,,,,NaN,0.0,0.034,1.36,0.0,0.0,0.0,1.36,,
Australia,2020-03-12,-31.9962,141.23,25731295,,,128,21,3,24,104,,,,,,,,,,,,,,,,0.125,0.0234,0.034,4.97,0.117,0.816,0.933,4.04,,
Austria,2020-03-12,47.52,14.55,8937767,5869,Samples Tested,302,4,1,5,297,,,,,,,,,,,,,,,,0.2,0.0033,0.034,33.79,0.112,0.448,0.559,33.23,19.43,656.65
Azerbaijan,2020-03-12,40.14,47.58,10175641,,,11,3,0,3,8,,,,,,,,,,,,,,,,0.0,0.0,0.034,1.08,0.0,0.295,0.295,0.786,,
Bahamas,2020-03-12,25.03,-77.3963,396839,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Bahrain,2020-03-12,26.03,50.55,1726667,9042,Units Unclear,195,35,0,35,160,,,,,,,,,,,,,,,,0.0,0.0,0.034,112.93,0.0,20.27,20.27,92.66,46.37,5236.68
Bangladesh,2020-03-12,23.68,90.36,165611088,187,Samples Tested,3,0,0,0,3,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.0181,0.0,0.0,0.0,0.0181,62.33,1.13
Barbados,2020-03-12,13.19,-59.5432,288373,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Belarus,2020-03-12,53.71,27.95,9429921,10500,Samples Tested,12,3,0,3,9,,,,,,,,,,,,,,,,0.0,0.0,0.034,1.27,0.0,0.318,0.318,0.954,875.0,1113.48
Belgium,2020-03-12,50.83,4.0,11572730,7557,Units Unclear,314,1,3,4,310,,,,,,,,,,,,,,,,0.75,0.0096,0.034,27.13,0.259,0.0864,0.346,26.79,24.07,653.0
Belize,2020-03-12,13.19,-59.5432,402155,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Benin,2020-03-12,9.31,2.32,12160701,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Bhutan,2020-03-12,27.51,90.43,775132,,,1,0,0,0,1,,,,,,,,,,,,,,,,NaN,0.0,0.034,1.29,0.0,0.0,0.0,1.29,,
Bolivia,2020-03-12,-16.2902,-63.5887,11736772,,,2,0,0,0,2,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.17,0.0,0.0,0.0,0.17,,
Bosnia And Herzegovina,2020-03-12,43.92,17.68,3279568,,,11,0,0,0,11,,,,,,,,,,,,,,,,NaN,0.0,0.034,3.35,0.0,0.0,0.0,3.35,,
Botswana,2020-03-12,-22.3285,24.68,2334686,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-03-12,-14.235,-51.9253,213724406,,,52,0,0,0,52,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.243,0.0,0.0,0.0,0.243,,
Brunei,2020-03-12,4.54,114.73,441178,,,11,0,0,0,11,,,,,,,,,,,,,,,,NaN,0.0,0.034,24.93,0.0,0.0,0.0,24.93,,
Bulgaria,2020-03-12,42.73,25.49,6908148,,,7,0,1,1,6,,,,,,,,,,,,,,,,1.0,0.143,0.034,1.01,0.145,0.0,0.145,0.869,,
