Source,Url,Data Kind
CSSE at JHU (John Hopkins University),https://systems.jhu.edu/,COVID-19 cases for several countries
Brasil.IO,https://brasil.io/home/,COVID-19 cases per state and city in Brazil
World Bank Open Data,https://data.worldbank.org/,Population and GDP per capita for several countries
Our World In Data,https://ourworldindata.org/,Number of tests of COVID-19 for several countries
Universidade Federal e Pelotas (UFPel),https://gauchazh.clicrbs.com.br/saude/noticia/2020/05/pesquisa-da-ufpel-indica-que-380-mil-tiveram-contato-com-o-virus-em-sp-indice-e-maior-do-que-o-total-de-casos-oficiais-do-pais-ckan3mdu400q7015nqyno3ks7.html,"Estimate for SP, Brazil on 2020-05-12"
Faculty of Economic Sciences of UFMG and Physics Department of UFOP,"https://www.em.com.br/app/noticia/gerais/2020/05/13/interna_gerais,1146938/numero-de-infectados-por-coronavirus-em-minas-gerais-pode-ser-16-vezes.shtml","Estimate for MG, Brazil on 2020-05-12"
Universidade Federal de Pelotas (UFPel),https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/05/17/pesquisa-aponta-mais-de-200-mil-infectados-por-coronavirus-em-manaus.htm,"Estimate for AM, Brazil on 2020-05-17"
Health Secretariat of Espírito Santo,https://www.sbt.com.br/jornalismo/sbt-brasil/noticia/141889-pesquisa-estima-que-mais-de-84-mil-pessoas-foram-infectados-pela-covid-19-no-es,"Estimate for ES, Brazil on 2020-05-19"
Teresina City Hall and Opinar Institute,https://cidadeverde.com/coronavirus/107272/pesquisa-estima-17297-infectados-em-teresina-36-vezes-a-mais-que-os-dados-oficiais,"Estimate for PI, Brazil on 2020-05-10"
"UFSC, Univille and Waterloo University","https://www.univille.edu.br/noticias/2020.5/scpodeter68milinfectados,indicapesquisa/884861","Estimate for SC, Brazil on 2020-05-05"
Univesity of Brasília (UnB) and University of São Paulo (USP),https://g1.globo.com/df/distrito-federal/noticia/2020/04/15/total-de-infectados-por-coronavirus-no-df-pode-ser-5-vezes-maior-que-numero-oficial-diz-relatorio.ghtml,"Estimate for DF, Brazil on 2020-05-10"
Health Secretariat of Mato Grosso,https://g1.globo.com/mt/mato-grosso/noticia/2020/04/13/numero-de-infectados-e-10-vezes-superior-ao-divulgado-diz-ses-mt-sobre-subnotificacao-de-covid-19.ghtml,"Estimate for MT, Brazil on 2020-04-13"
Universidade Federal e Pelotas (UFPel),https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/05/13/terceira-fase-de-pesquisa-da-ufpel-aponta-que-022percent-das-pessoas-tem-anticorpos-para-coronavirus-no-rs.ghtml,"Estimate for RS, Brazil on 2020-05-13"
Universidade Federal e Pelotas (UFPel),https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/05/25/brasil-tem-sete-vezes-mais-contaminados-por-covid-19-do-que-mostram-as-estatisticas-oficiais-aponta-pesquisa-da-ufpel.ghtml?fbclid=IwAR0PQq0DF_Fe44pDP8b1F97aIstk5zZWyavcaYMNLAsBneGxQOkKrjnZI6s,"Estimate for RJ, Brazil on 2020-05-25"
Universidade Federal de Pelotas (UFPel),https://g1.globo.com/ce/ceara/noticia/2020/06/12/pesquisa-aponta-que-156percent-da-populacao-de-fortaleza-tem-anticorpos-para-o-novo-coronavirus.ghtml,"Estimate for CE, Brazil on 2020-06-11"
Universidade Federal de Pelotas (UFPel),https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/05/25/brasil-tem-sete-vezes-mais-contaminados-por-covid-19-do-que-mostram-as-estatisticas-oficiais-aponta-pesquisa-da-ufpel.ghtml,Estimate for Brazil on 2020-04-25
