Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
Afghanistan,All,3.9653765e7,,,,0.1697,,,,0.00659,,,,,
Albania,All,2.84265e6,0.05377,0.8571,0.05333,0.03918,0.01458,0.2782,0.00915,0.00137,4.102,1.008,0.3236,0.8161,0.8161
Algeria,All,4.3697354e7,0.05613,0.663,0.05293,0.1189,0.0014,0.402,0.00862,0.0113,176.014,1.06,0.1748,0.6036,0.6036
Andorra,All,78418.0,0.00101,0.0101,0.09322,0.07255,0.08654,,0.0086,0.00262,,0.01083,0.9283,0.4924,0.4924
Argentina,All,4.5433446e7,0.08249,0.9722,0.02837,0.1129,0.00852,0.9717,0.00224,0.01105,675.958,2.908,0.3778,0.2037,0.2037
Armenia,All,2.938968e6,0.09414,0.4271,0.0437,0.02911,0.00483,0.1396,0.0206,0.00353,271.776,2.154,1.022,1.044,1.044
Australia,All,2.5731295e7,0.01713,0.5419,0.0387,0.01533,0.00295,0.04656,0.00197,9.0e-5,1.533,0.4426,0.07949,0.7876,0.7876
Austria,All,8.937767e6,0.03946,0.7382,0.08028,0.04105,0.00389,0.05047,,0.00044,3.149,0.4915,,0.3715,0.3715
Azerbaijan,All,1.0175641e7,0.08548,0.597,0.0676,0.01849,0.00591,0.2723,0.0055,0.00038,98.301,1.265,0.135,0.4329,0.4329
Bahrain,All,1.726667e6,0.05657,0.4545,0.04743,0.00326,0.00625,0.04752,0.01172,0.00058,56.673,1.193,0.3228,0.3994,0.3994
Bangladesh,All,1.65611088e8,0.06898,0.6106,0.01698,0.06595,0.00588,0.2467,0.00155,0.00339,1104.023,4.062,0.5068,0.122,0.122
Belarus,All,9.429921e6,0.03818,0.2489,0.0281,0.01453,0.0016,0.02445,0.00182,0.00143,370.615,1.359,0.1051,0.1699,0.1699
Belgium,All,1.157273e7,,,,0.3792,,,,0.00279,,,,,
Bolivia,All,1.1736772e7,,,,0.2747,,,,0.01343,,,,,
Bosnia and Herzegovina,All,3.279568e6,0.02391,0.99,0.06048,0.0805,0.00179,0.7644,0.009,0.00263,10.139,0.3953,0.06583,0.7994,0.7994
Brazil,All,2.13724406e8,0.09798,0.99,0.04779,0.1362,0.00852,2.123,0.00891,0.00682,35974.84,2.05,0.4217,0.296,0.296
Bulgaria,All,6.908148e6,0.01861,0.99,0.02277,0.1364,0.00318,0.6828,0.00313,0.01274,17.532,0.8173,0.179,0.7108,0.7108
Burkina Faso,All,2.09532e7,0.04508,0.5915,0.09816,0.07196,0.0142,0.3135,0.03939,0.0023,3.434,0.4593,0.2343,1.003,1.003
Cabo Verde,All,558398.0,0.02595,0.99,0.01573,0.02284,0.00493,0.8874,0.01099,0.00283,6.187,1.65,1.195,0.6708,0.6708
Chad,All,1.6575069e7,0.06138,0.685,0.06077,0.2188,0.01104,0.3072,0.0303,0.06732,14.733,1.01,0.5353,1.179,1.179
Chile,All,1.9148883e7,0.1055,0.6549,0.04337,0.02404,0.00807,0.5111,0.0052,0.00082,4835.64,2.432,0.3459,0.1723,0.1723
China,All,1.407987086e9,0.04637,0.2753,0.05506,0.05678,0.01013,0.1037,0.01134,2.0e-5,8.213,0.8422,0.2529,0.4724,0.4724
Colombia,All,5.0907732e7,0.05824,0.8254,0.01495,0.1257,0.00153,0.9909,0.00071,0.00704,1288.724,3.895,0.2109,0.4612,0.4612
Congo-Brazzaville,All,5.554412e6,0.03972,0.4688,0.02984,0.1037,0.01019,0.157,0.01347,0.00584,7.978,1.331,0.691,1.64,1.64
Congo-Kinshasa,All,8.9656528e7,,,,0.1661,,,,0.01302,,,,,
Costa Rica,All,5.130266e6,0.03644,0.7372,0.02578,0.01622,0.00575,0.2052,0.00371,0.0009,3.712,1.413,0.3019,0.7493,0.7493
Cote d'Ivoire,All,2.6269866e7,0.0376,0.7404,0.02611,0.02448,0.0035,,0.00237,0.00129,,1.44,0.1871,0.5309,0.5309
Croatia,All,4.047622e6,0.01224,0.9663,0.09084,0.04692,0.00358,0.664,0.01725,0.0004,1.185,0.1348,0.04698,0.6755,0.6755
Cuba,All,1.1361908e7,0.03605,0.2265,0.1171,0.04709,0.01566,,0.0161,0.00216,,0.3079,0.1403,0.9368,0.9368
Cyprus,All,1.220282e6,0.00697,0.5074,0.03609,0.02808,0.00176,0.2775,0.00217,0.00398,3.055,0.1932,0.05002,0.9036,0.9036
Denmark,All,5.846408e6,0.05388,0.99,0.09754,0.05314,0.0037,,0.00996,0.00122,,0.5524,0.06796,0.4418,0.4418
Djibouti,All,990313.0,0.1465,0.5284,0.0383,0.01045,0.06289,0.3264,0.01878,0.00419,124.698,3.824,2.493,0.6986,0.6986
