Country,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,2020-03-10,33.0,65.0,39653765,,,,5,0,0,0,5,1.0,,,,,0.3333,,,,,0.03472,,,,0.0,0.1261,0.0,0.0,0.0,0.1261,,
Albania,2020-03-10,41.153,20.168,2842650,5269,,,10,0,0,0,10,,,,,,,,,,,,,,,0.0,3.518,0.0,0.0,0.0,3.518,,
Algeria,2020-03-10,28.034,1.66,43697354,4115,,,20,0,0,0,20,1.5,,,,,0.7222,,,,,0.2847,,,,0.0,0.4577,0.0,0.0,0.0,0.4577,,
Andorra,2020-03-10,42.506,1.522,78418,42030,,,1,0,0,0,1,0.0,,,,,,,,,,,,,,0.0,12.752,0.0,0.0,0.0,12.752,,
Angola,2020-03-10,-11.2027,17.874,33046756,3432,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Antigua and Barbuda,2020-03-10,17.061,-61.7964,98848,16727,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Argentina,2020-03-10,-38.4161,-63.6167,45433446,11684,,,17,0,1,1,16,3.833,,,,,0.6389,,,,,,,,1.0,0.05882,0.3742,0.02201,0.0,0.02201,0.3522,,
Armenia,2020-03-10,40.069,45.038,2938968,4212,,,1,0,0,0,1,1.167,,,,,,,,,,,,,,0.0,0.3403,0.0,0.0,0.0,0.3403,,
Australia,2020-03-10,-31.99619,141.233,25731295,57396,,,107,21,3,24,83,22.833,0.3333,0.1667,0.5,22.333,5.972,-0.22222,-0.02778,-0.25,6.222,1.694,-0.05208,0.06597,0.125,0.02804,4.158,0.1166,0.8161,0.9327,3.226,,
Austria,2020-03-10,47.516,14.55,8937767,51500,5026,samples tested,182,4,0,4,178,70.833,,,,,18.972,,,,,4.389,0.02951,-0.12804,0.0,0.0,20.363,0.0,0.4475,0.4475,19.915,27.615,562.333
