Country,Date,Latitude,Longitude,Estimated Population,Estimated Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,2020-04-13,33.0,65.0,39653765,,,,665,32,21,53,612,53.167,3.667,2.5,6.167,47.0,2.472,2.361,0.1389,2.5,-0.02778,-0.95139,,,0.3962,0.03158,16.77,0.5296,0.807,1.337,15.434,,
Albania,2020-04-13,41.153,20.168,2842650,5269,,,467,232,23,255,212,17.0,15.833,0.5,16.333,0.6667,0.3056,-0.52778,0.05556,-0.47222,0.7778,-0.02778,,,0.0902,0.04925,164.283,8.091,81.614,89.705,74.578,,
Algeria,2020-04-13,28.034,1.66,43697354,4115,,,1983,601,313,914,1069,84.5,63.0,15.333,78.333,6.167,3.639,-1.16667,-1.61111,-2.77778,6.417,0.4792,,,0.3425,0.1578,45.38,7.163,13.754,20.917,24.464,,
Andorra,2020-04-13,42.506,1.522,78418,42030,,,646,128,29,157,489,12.0,16.333,1.167,17.5,-5.5,-0.94444,0.5,0.0,0.5,-1.44444,,,,0.1847,0.04489,8237.905,369.813,1632.278,2002.091,6235.813,,
Angola,2020-04-13,-11.2027,17.874,33046756,3432,,,19,4,2,6,13,0.0,0.5,0.0,0.5,-0.5,0.08333,0.0,,,,,,,0.3333,0.1053,0.5749,0.06052,0.121,0.1816,0.3934,,
Antigua and Barbuda,2020-04-13,17.061,-61.7964,98848,16727,,,23,0,2,2,21,0.6667,,0.1667,,,-0.11111,,0.0,,,,,,1.0,0.08696,232.68,20.233,0.0,20.233,212.447,,
Argentina,2020-04-13,-38.4161,-63.6167,45433446,11684,19758,samples tested,2208,515,97,612,1596,99.333,42.667,5.5,48.167,51.167,1.417,0.4722,-0.16667,0.3056,1.111,-1.59722,,,0.1585,0.04393,48.599,2.135,11.335,13.47,35.128,8.948,434.878
Armenia,2020-04-13,40.069,45.038,2938968,4212,,,1039,211,14,225,814,37.0,34.833,1.0,35.833,1.167,1.833,5.833,0.0,5.833,-4.0,0.07639,-0.06771,,0.06222,0.01347,353.525,4.764,71.794,76.557,276.968,,
Australia,2020-04-13,-31.99619,141.233,25731295,57374,362136,samples tested,6351,1806,61,1867,4484,41.167,93.667,1.5,95.167,-54.0,-5.47222,44.222,-0.27778,43.944,-49.41667,,,,0.03267,0.0096,246.82,2.371,70.187,72.558,174.263,57.02,14073.757
Austria,2020-04-13,47.516,14.55,8937767,51462,148412,samples tested,14041,7343,368,7711,6330,153.5,487.0,15.167,502.167,-348.66667,-19.27778,-3.86111,-1.13889,-5.0,-14.27778,,,,0.04772,0.02621,1570.974,41.174,821.57,862.743,708.231,10.57,16605.042
Azerbaijan,2020-04-13,40.143,47.577,10175641,4721,,,1148,289,12,301,847,48.667,50.167,0.8333,51.0,-2.33333,-5.02778,4.944,0.08333,5.028,-10.05556,,,,0.03987,0.01045,112.818,1.179,28.401,29.58,83.238,,
