Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
AC,All,890754.0,0.1485,0.544,0.06517,0.00747,0.01848,0.1534,0.01153,0.00126,1408.504,2.279,0.4929,0.3851,0.3851
AL,All,3.370731e6,0.1152,0.9004,0.04955,0.01498,0.00809,0.8898,0.00465,0.00123,4044.733,2.326,0.2726,0.2862,0.2862
AM,All,4.186043e6,0.09262,0.5481,0.03833,0.00758,0.00572,0.6298,0.00607,0.0009,55194.229,2.416,0.411,0.4925,0.4925
BA,All,1.5021795e7,0.08644,0.7534,0.04167,0.01,0.02618,0.3175,0.01417,0.00064,2421.255,2.075,0.9449,0.5655,0.5655
CE,All,9.223399e6,0.06696,0.6495,0.02542,0.01968,0.02585,0.1865,0.01447,0.00108,3584.39,2.634,1.812,0.5705,0.5705
DF,All,3.045421e6,0.09181,0.4214,0.04416,0.00695,0.00701,0.1575,0.00457,0.00051,1688.432,2.079,0.2675,0.3585,0.3585
ES,All,4.058836e6,0.08916,0.8321,0.03792,0.00896,0.01447,0.4809,0.00759,0.00028,3269.694,2.351,0.6059,0.3467,0.3467
GO,All,7.088538e6,0.08273,0.4787,0.04061,0.0112,0.00735,0.3469,0.00568,0.0008,1573.032,2.037,0.3374,0.539,0.539
MA,All,7.145933e6,0.1257,0.902,0.05095,0.01045,0.01074,0.2818,0.00782,0.00178,5158.75,2.467,0.4334,0.2201,0.2201
MG,All,2.1380479e7,0.09251,0.6288,0.04227,0.00474,0.00971,0.1974,0.0014,0.00045,3314.979,2.189,0.241,0.4061,0.4061
MS,All,2.806776e6,0.1308,0.99,0.05607,0.00591,0.0163,1.48,0.00644,0.00178,1029.62,2.333,0.3954,0.4771,0.4771
MT,All,3.519311e6,0.1222,0.9166,0.05547,0.00676,0.01175,0.5102,0.00551,0.00071,730.862,2.204,0.3045,0.4242,0.4242
PB,All,4.058308e6,0.1299,0.6839,0.05577,0.01024,0.01224,0.5122,0.00575,0.00188,6016.002,2.33,0.3253,0.3595,0.3595
PE,All,9.652642e6,0.07293,0.6267,0.03584,0.02361,0.01872,0.1539,0.01166,0.0006,3256.75,2.035,0.8435,0.6438,0.6438
PI,All,3.305959e6,0.08774,0.2889,0.03861,0.00223,0.00548,0.1302,0.00625,0.00013,10940.723,2.273,0.3942,0.3692,0.3692
PR,All,1.1548297e7,0.08091,0.4849,0.03742,0.01402,0.00409,0.2794,0.00426,0.0016,1500.641,2.162,0.2694,0.4346,0.4346
RJ,All,1.7437592e7,0.1004,0.6839,0.04159,0.02697,0.02105,0.3451,0.00973,0.00183,11632.907,2.414,0.7583,0.3422,0.3422
RS,All,1.1491011e7,0.1128,0.7457,0.04726,0.0089,0.03174,0.2903,0.01277,0.00181,1151.159,2.388,0.9312,0.417,0.417
SC,All,7.236436e6,0.0671,0.3784,0.03142,0.00162,0.01109,0.2537,0.00545,9.0e-5,13006.318,2.135,0.5115,0.4319,0.4319
SE,All,2.321683e6,0.08677,0.4364,0.04035,0.00547,0.02659,0.02634,0.0167,0.00068,278.921,2.15,1.107,0.4683,0.4683
SP,All,4.6378239e7,0.06476,0.99,0.03128,0.02466,0.00496,1.265,0.00502,0.00101,24722.609,2.07,0.3683,0.4957,0.4957
