Key,Group Name,M,β,γ,α,μ
AC,Group 1,890754.0,0.01,0.01,0.09097,
AL,Group 1,3.370731e6,0.09368,0.1819,0.07013,
AM,Group 1,4.186043e6,0.1416,0.2142,0.07779,
AP,Group 1,854188.0,0.1385,0.2343,0.06959,
BA,Group 1,1.5021795e7,0.1056,0.3546,0.04738,
CE,Group 1,9.223399e6,0.09902,0.01739,0.05467,
DF,Group 1,3.045421e6,0.01,0.01,0.03998,
ES,Group 1,4.058836e6,0.07013,0.1447,0.04618,
GO,Group 1,7.088538e6,0.06877,0.6106,0.02749,
MA,Group 1,7.145933e6,0.1338,0.2398,0.06587,
MG,Group 1,2.1380479e7,0.09856,0.3658,0.03686,
MS,Group 1,2.806776e6,0.05649,0.152,0.01691,
MT,Group 1,3.519311e6,0.09142,0.3833,0.02577,
PA,Group 1,8.688894e6,0.1391,0.1808,0.08677,
PB,Group 1,4.058308e6,0.1404,0.2053,0.08847,
PE,Group 1,9.652642e6,0.1067,0.2755,0.05947,
PI,Group 1,3.305959e6,0.1255,0.2249,0.06788,
PR,Group 1,1.1548297e7,0.03929,0.1551,0.01676,
RJ,Group 1,1.7437592e7,0.09916,0.199,0.05505,
RN,Group 1,3.541922e6,0.1394,1.0,0.0491,
RO,Group 1,1.794997e6,0.136,0.1534,0.0735,
RR,Group 1,611819.0,,0.1137,0.06445,
RS,Group 1,1.1491011e7,0.01,0.01,0.03939,
SC,Group 1,7.236436e6,0.01,0.01,0.0329,
SP,Group 1,4.6378239e7,0.08209,0.2898,0.04486,
TO,Group 1,1.588595e6,0.2454,0.3933,0.1493,
