Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-18,TO,1,0,0,1572866,17,0,1,,,,,,,,,,,,,,,0.0,0.034,0.636,0.0,0.0,0.0,0.636
2020-03-19,TO,1,0,0,1572866,17,0,1,,,,,,,,,,,,,,,0.0,0.034,0.636,0.0,0.0,0.0,0.636
2020-03-20,TO,1,0,0,1572866,17,0,1,,,,,,,,,,,,,,,0.0,0.034,0.636,0.0,0.0,0.0,0.636
2020-03-21,TO,2,0,0,1572866,17,0,2,,,,,,,,,,,,,,,0.0,0.034,1.27,0.0,0.0,0.0,1.27
2020-03-22,TO,5,0,0,1572866,17,0,5,1.6,,,,,,,,,,,,,,0.0,0.034,3.18,0.0,0.0,0.0,3.18
2020-03-23,TO,7,0,0,1572866,17,0,7,2.42,,,,,,,,,,,,,,0.0,0.034,4.45,0.0,0.0,0.0,4.45
2020-03-24,TO,7,0,0,1572866,17,0,7,2.58,,,,,,,,,,,,,,0.0,0.034,4.45,0.0,0.0,0.0,4.45
2020-03-25,TO,7,0,0,1572866,17,0,7,1.68,,,,,-0.2991,,,,,,,,,0.0,0.034,4.45,0.0,0.0,0.0,4.45
2020-03-26,TO,8,0,0,1572866,17,0,8,0.833,,,,,-0.1793,,,,,,,,,0.0,0.034,5.09,0.0,0.0,0.0,5.09
2020-03-27,TO,9,0,0,1572866,17,0,9,0.6,,,,,-0.1253,,,,,,,,,0.0,0.034,5.72,0.0,0.0,0.0,5.72
2020-03-28,TO,9,0,0,1572866,17,0,9,0.72,,,,,-0.1234,,,,,,,,,0.0,0.034,5.72,0.0,0.0,0.0,5.72
2020-03-29,TO,10,0,0,1572866,17,0,10,0.8,,,,,-0.0393,,,,,,,,,0.0,0.034,6.36,0.0,0.0,0.0,6.36
2020-03-30,TO,11,0,0,1572866,17,0,11,0.656,,,,,0.0745,,,,,,,,,0.0,0.034,6.99,0.0,0.0,0.0,6.99
2020-03-31,TO,12,0,0,1572866,17,0,12,0.647,,,,,0.0361,,,,,,,,,0.0,0.034,7.63,0.0,0.0,0.0,7.63
2020-04-01,TO,12,0,0,1572866,17,0,12,1.03,,,,,0.0585,,,,,0.0061,,,,0.0,0.034,7.63,0.0,0.0,0.0,7.63
2020-04-02,TO,12,0,0,1572866,17,0,12,0.945,,,,,0.1,,,,,0.0823,,,,0.0,0.034,7.63,0.0,0.0,0.0,7.63
2020-04-03,TO,13,0,0,1572866,17,0,13,1.06,,,,,0.218,,,,,0.0704,0.0513,,,0.0,0.034,8.27,0.0,0.0,0.0,8.27
2020-04-04,TO,16,0,0,1572866,17,0,16,1.09,,,,,0.135,,,,,0.0313,-0.0099,,,0.0,0.034,10.17,0.0,0.0,0.0,10.17
2020-04-05,TO,17,0,0,1572866,17,0,17,1.66,,,,,0.187,,,,,-0.0263,0.0102,-0.0056,,0.0,0.034,10.81,0.0,0.0,0.0,10.81
2020-04-06,TO,19,0,0,1572866,17,0,19,1.85,,,,,0.138,,,,,-0.016,0.0049,,,0.0,0.034,12.08,0.0,0.0,0.0,12.08
2020-04-07,TO,19,0,0,1572866,17,0,19,1.61,,,,,0.0936,,,,,-0.0105,,,,0.0,0.034,12.08,0.0,0.0,0.0,12.08
2020-04-08,TO,23,0,0,1572866,17,0,23,1.51,,,,,-0.1308,,,,,0.0131,,,,0.0,0.034,14.62,0.0,0.0,0.0,14.62
2020-04-09,TO,23,0,0,1572866,17,0,23,1.44,,,,,-0.1008,,,,,-0.0091,,,,0.0,0.034,14.62,0.0,0.0,0.0,14.62
2020-04-10,TO,23,0,0,1572866,17,0,23,1.05,,,,,-0.1213,,,,,,,,,0.0,0.034,14.62,0.0,0.0,0.0,14.62
2020-04-11,TO,25,0,0,1572866,17,0,25,1.29,,,,,-0.0726,,,,,,,,,0.0,0.034,15.89,0.0,0.0,0.0,15.89
2020-04-12,TO,26,0,0,1572866,17,0,26,0.875,,,,,-0.0171,,,,,,,,,0.0,0.034,16.53,0.0,0.0,0.0,16.53
2020-04-13,TO,26,0,0,1572866,17,0,26,1.13,,,,,0.0245,,,,,,,,,0.0,0.034,16.53,0.0,0.0,0.0,16.53
2020-04-14,TO,27,0,3,1572866,17,3,24,1.3,,,,,-0.0158,,,,,,,,0.0,0.0,0.034,17.17,0.0,1.91,1.91,15.26
2020-04-15,TO,29,1,14,1572866,17,15,14,1.17,,,,,0.113,,,,,0.03,,,0.0667,0.0345,0.034,18.44,0.636,8.9,9.54,8.9
2020-04-16,TO,31,1,14,1572866,17,15,16,1.21,,,,,0.0496,,,,,,,,0.0667,0.0323,0.034,19.71,0.636,8.9,9.54,10.17
2020-04-17,TO,32,1,13,1572866,17,14,18,1.39,,,,,-0.022,,,,,0.0007,0.0002,,0.0714,0.0312,0.034,20.35,0.636,8.27,8.9,11.44
2020-04-18,TO,33,1,13,1572866,17,14,19,1.38,3.92,,,,0.102,,,,,0.0528,,,0.0714,0.0303,0.034,20.98,0.636,8.27,8.9,12.08
2020-04-19,TO,34,1,19,1572866,17,20,14,1.2,0.993,0.104,1.1,0.107,0.173,,,,,,,,0.05,0.0294,0.034,21.62,0.636,12.08,12.72,8.9
2020-04-20,TO,35,2,19,1572866,17,21,14,1.67,1.4,0.208,1.6,0.0703,0.292,,,,,0.239,0.285,,0.0952,0.0571,0.034,22.25,1.27,12.08,13.35,8.9
2020-04-21,TO,36,2,19,1572866,17,21,15,2.37,1.98,0.208,2.19,0.184,0.613,-0.2894,,,,0.556,,,0.0952,0.0556,0.034,22.89,1.27,12.08,13.35,9.54
2020-04-22,TO,37,2,20,1572866,17,22,15,3.1,2.43,0.208,2.64,0.467,1.2,0.489,-0.2082,0.281,0.918,1.06,0.755,0.101,0.0909,0.0541,0.034,23.52,1.27,12.72,13.99,9.54
2020-04-23,TO,43,2,23,1572866,17,25,18,4.38,1.78,0.208,1.99,2.39,1.95,0.467,-0.2082,0.259,1.69,1.21,0.416,,0.08,0.0465,0.034,27.34,1.27,14.62,15.89,11.44
2020-04-24,TO,50,2,26,1572866,17,28,22,6.17,2.49,0.0,2.49,3.68,2.6,0.547,-0.0,0.547,2.05,1.35,0.263,-0.0643,0.0714,0.04,0.034,31.79,1.27,16.53,17.8,13.99
2020-04-25,TO,58,2,29,1572866,17,31,27,10.55,4.49,0.0,4.49,6.07,4.21,0.895,-0.0,0.895,3.32,1.8,0.326,-0.1033,0.0645,0.0345,0.034,36.88,1.27,18.44,19.71,17.17
2020-04-26,TO,67,2,32,1572866,17,34,33,13.78,5.35,0.119,5.47,8.31,5.66,2.04,0.0,2.04,3.62,1.98,-0.1325,-0.0066,0.0588,0.0299,0.034,42.6,1.27,20.35,21.62,20.98
2020-04-27,TO,79,2,36,1572866,17,38,41,16.65,6.03,0.119,6.15,10.5,6.41,2.21,,,,1.1,-0.3048,0.0074,0.0526,0.0253,0.034,50.23,1.27,22.89,24.16,26.07
2020-04-28,TO,116,2,52,1572866,17,54,62,24.48,8.95,0.208,9.16,15.32,6.78,2.19,,,,0.681,-0.3026,,0.037,0.0172,0.034,73.75,1.27,33.06,34.33,39.42
2020-04-29,TO,137,3,59,1572866,17,62,75,31.41,11.81,0.312,12.12,19.29,7.55,2.84,0.143,2.98,4.57,0.34,-0.0851,,0.0484,0.0219,0.034,87.1,1.91,37.51,39.42,47.68
2020-04-30,TO,164,3,68,1572866,17,71,93,35.81,13.43,0.51,13.94,21.87,7.31,3.02,0.264,3.29,4.02,-0.4632,-0.0472,,0.0423,0.0183,0.034,104.27,1.91,43.23,45.14,59.13
2020-05-01,TO,191,4,79,1572866,17,83,108,40.44,15.7,0.784,16.48,23.96,5.57,2.49,0.293,2.78,2.79,-0.9105,,,0.0482,0.0209,0.034,121.43,2.54,50.23,52.77,68.66
2020-05-02,TO,246,4,104,1572866,17,108,138,42.16,16.64,0.959,17.6,24.55,4.42,2.11,0.294,2.4,2.02,,,,0.037,0.0163,0.034,156.4,2.54,66.12,68.66,87.74
2020-05-03,TO,267,6,113,1572866,17,119,148,46.66,18.66,1.02,19.68,26.98,,,,,,,,,0.0504,0.0225,0.034,169.75,3.81,71.84,75.66,94.1
2020-05-04,TO,303,7,128,1572866,17,135,168,51.69,21.43,1.19,22.62,29.07,,,,,,,,,0.0519,0.0231,0.034,192.64,4.45,81.38,85.83,106.81
2020-05-05,TO,351,9,147,1572866,17,156,195,,,,,,,,,,,,,,0.0577,0.0256,0.034,223.16,5.72,93.46,99.18,123.98
2020-05-06,TO,423,9,172,1572866,17,181,242,,,,,,,,,,,,,,0.0497,0.0213,0.034,268.94,5.72,109.35,115.08,153.86
2020-05-07,TO,494,9,201,1572866,17,210,284,,,,,,,,,,,,,,0.0429,0.0182,0.034,314.08,5.72,127.79,133.51,180.56
