Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-14,MS,2,0,0,2778986,50,0,2,,,,,,,,,,,,,,,0.0,0.034,0.72,0.0,0.0,0.0,0.72
2020-03-15,MS,2,0,0,2778986,50,0,2,,,,,,,,,,,,,,,0.0,0.034,0.72,0.0,0.0,0.0,0.72
2020-03-16,MS,4,0,0,2778986,50,0,4,,,,,,,,,,,,,,,0.0,0.034,1.44,0.0,0.0,0.0,1.44
2020-03-17,MS,6,0,0,2778986,50,0,6,,,,,,,,,,,,,,,0.0,0.034,2.16,0.0,0.0,0.0,2.16
2020-03-18,MS,7,0,0,2778986,50,0,7,2.42,,,,,,,,,,,,,,0.0,0.034,2.52,0.0,0.0,0.0,2.52
2020-03-19,MS,9,0,0,2778986,50,0,9,3.59,,,,,,,,,,,,,,0.0,0.034,3.24,0.0,0.0,0.0,3.24
2020-03-20,MS,12,0,0,2778986,50,0,12,3.21,,,,,,,,,,,,,,0.0,0.034,4.32,0.0,0.0,0.0,4.32
2020-03-21,MS,16,0,0,2778986,50,0,16,3.5,,,,,0.224,,,,,,,,,0.0,0.034,5.76,0.0,0.0,0.0,5.76
2020-03-22,MS,21,0,0,2778986,50,0,21,4.04,,,,,-0.1205,,,,,,,,,0.0,0.034,7.56,0.0,0.0,0.0,7.56
2020-03-23,MS,21,0,0,2778986,50,0,21,3.3,,,,,-0.1917,,,,,-0.0259,,,,0.0,0.034,7.56,0.0,0.0,0.0,7.56
2020-03-24,MS,24,0,0,2778986,50,0,24,3.09,,,,,-0.3274,,,,,,,,,0.0,0.034,8.64,0.0,0.0,0.0,8.64
2020-03-25,MS,24,0,0,2778986,50,0,24,2.38,,,,,-0.1199,,,,,,,,,0.0,0.034,8.64,0.0,0.0,0.0,8.64
2020-03-26,MS,25,0,0,2778986,50,0,25,2.0,,,,,-0.0089,,,,,,,,,0.0,0.034,9.0,0.0,0.0,0.0,9.0
2020-03-27,MS,28,0,0,2778986,50,0,28,3.12,,,,,0.181,,,,,,,,,0.0,0.034,10.08,0.0,0.0,0.0,10.08
2020-03-28,MS,31,0,0,2778986,50,0,31,3.23,,,,,0.515,,,,,,,,,0.0,0.034,11.16,0.0,0.0,0.0,11.16
2020-03-29,MS,36,0,0,2778986,50,0,36,4.09,,,,,0.921,,,,,0.421,,,,0.0,0.034,12.95,0.0,0.0,0.0,12.95
2020-03-30,MS,44,0,1,2778986,50,1,43,4.99,,,,,0.559,,,,,-0.0354,,,0.0,0.0,0.034,15.83,0.0,0.36,0.36,15.47
2020-03-31,MS,48,1,1,2778986,50,2,46,5.52,,,,,0.423,,,,,-0.1969,0.0859,,0.5,0.0208,0.034,17.27,0.36,0.36,0.72,16.55
2020-04-01,MS,51,1,1,2778986,50,2,49,5.31,,,,,-0.1408,,,,,0.0754,,,0.5,0.0196,0.034,18.35,0.36,0.36,0.72,17.63
2020-04-02,MS,53,1,1,2778986,50,2,51,4.67,,,,,-0.0561,,,,,0.0237,,,0.5,0.0189,0.034,19.07,0.36,0.36,0.72,18.35
2020-04-03,MS,60,1,1,2778986,50,2,58,3.58,0.0,,,,-0.0815,,,,,,,,0.5,0.0167,0.034,21.59,0.36,0.36,0.72,20.87
2020-04-04,MS,62,1,1,2778986,50,2,60,4.69,0.0,0.104,0.104,4.59,-0.0425,,,,,,,,0.5,0.0161,0.034,22.31,0.36,0.36,0.72,21.59
2020-04-05,MS,65,1,1,2778986,50,2,63,4.92,0.0,0.104,0.104,4.82,0.197,,,,,,,,0.5,0.0154,0.034,23.39,0.36,0.36,0.72,22.67
2020-04-06,MS,66,1,1,2778986,50,2,64,5.07,0.0,0.104,0.104,4.97,0.554,,,,,,,,0.5,0.0152,0.034,23.75,0.36,0.36,0.72,23.03
2020-04-07,MS,80,2,1,2778986,50,3,77,5.68,0.0,0.208,0.208,5.47,0.242,,0.031,,,0.103,,,0.667,0.025,0.034,28.79,0.72,0.36,1.08,27.71
2020-04-08,MS,85,2,1,2778986,50,3,82,6.01,0.0,0.208,0.208,5.8,0.57,,0.0693,,,-0.3054,,,0.667,0.0235,0.034,30.59,0.72,0.36,1.08,29.51
2020-04-09,MS,89,2,1,2778986,50,3,86,5.78,0.0,0.208,0.208,5.58,0.0556,,0.031,,,-0.0106,0.0015,,0.667,0.0225,0.034,32.03,0.72,0.36,1.08,30.95
2020-04-10,MS,97,2,1,2778986,50,3,94,7.75,0.0,0.438,0.438,7.31,-0.1287,,0.0,,,0.0646,,,0.667,0.0206,0.034,34.9,0.72,0.36,1.08,33.83
2020-04-11,MS,100,2,1,2778986,50,3,97,5.32,0.458,0.208,0.666,4.66,0.0704,,0.0455,,,0.0237,,,0.667,0.02,0.034,35.98,0.72,0.36,1.08,34.9
2020-04-12,MS,101,2,1,2778986,50,3,98,5.23,0.795,0.208,1.0,4.22,0.133,,0.0455,,,,,,0.667,0.0198,0.034,36.34,0.72,0.36,1.08,35.26
2020-04-13,MS,113,4,1,2778986,50,5,108,6.42,0.795,0.559,1.35,5.06,0.123,,0.028,,,0.161,0.355,,0.8,0.0354,0.034,40.66,1.44,0.36,1.8,38.86
