Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-19,PI,3,0,0,3273227,22,0,3,,,,,,,,,,,,,,,0.0,0.0812,0.917,0.0,0.0,0.0,0.917
2020-03-20,PI,4,0,0,3273227,22,0,4,,,,,,,,,,,,,,,0.0,0.0812,1.22,0.0,0.0,0.0,1.22
2020-03-21,PI,4,0,0,3273227,22,0,4,,,,,,,,,,,,,,,0.0,0.0812,1.22,0.0,0.0,0.0,1.22
2020-03-22,PI,6,0,0,3273227,22,0,6,0.833,,,,,,,,,,,,,,0.0,0.0812,1.83,0.0,0.0,0.0,1.83
2020-03-23,PI,6,0,0,3273227,22,0,6,0.833,,,,,,,,,,,,,,0.0,0.0812,1.83,0.0,0.0,0.0,1.83
2020-03-24,PI,8,0,0,3273227,22,0,8,1.0,,,,,,,,,,,,,,0.0,0.0812,2.44,0.0,0.0,0.0,2.44
2020-03-25,PI,8,0,0,3273227,22,0,8,0.833,,,,,,,,,,,,,,0.0,0.0812,2.44,0.0,0.0,0.0,2.44
2020-03-26,PI,9,0,0,3273227,22,0,9,,,,,,,,,,,,,,,0.0,0.0812,2.75,0.0,0.0,0.0,2.75
2020-03-27,PI,10,1,0,3273227,22,1,9,,,,,,,,,,,,,,1.0,0.1,0.0812,3.06,0.306,0.0,0.306,2.75
2020-03-28,PI,11,1,0,3273227,22,1,10,,,,,,,,,,,,,,1.0,0.0909,0.0812,3.36,0.306,0.0,0.306,3.06
2020-03-30,PI,18,4,0,3273227,22,4,14,,,,,,,,,,,,,,1.0,0.222,0.0812,5.5,1.22,0.0,1.22,4.28
2020-03-31,PI,18,4,0,3273227,22,4,14,,,,,,,,,,,,,,1.0,0.222,0.0812,5.5,1.22,0.0,1.22,4.28
2020-04-01,PI,19,4,0,3273227,22,4,15,,,,,,,,,,,,,,1.0,0.211,0.0812,5.8,1.22,0.0,1.22,4.58
2020-04-02,PI,19,4,0,3273227,22,4,15,1.0,,0.0,,,,,,,,,,,1.0,0.211,0.0812,5.8,1.22,0.0,1.22,4.58
