Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-20,MA,1,0,0,7075181,21,0,1,,,,,,,,,,,,,,,0.0,0.116,0.141,0.0,0.0,0.0,0.141
2020-03-21,MA,2,0,0,7075181,21,0,2,,,,,,,,,,,,,,,0.0,0.116,0.283,0.0,0.0,0.0,0.283
2020-03-22,MA,2,0,0,7075181,21,0,2,,,,,,,,,,,,,,,0.0,0.116,0.283,0.0,0.0,0.0,0.283
2020-03-23,MA,8,0,0,7075181,21,0,8,,,,,,,,,,,,,,,0.0,0.116,1.13,0.0,0.0,0.0,1.13
2020-03-24,MA,8,0,0,7075181,21,0,8,3.54,,,,,,,,,,,,,,0.0,0.116,1.13,0.0,0.0,0.0,1.13
2020-03-25,MA,8,0,0,7075181,21,0,8,2.67,,,,,,,,,,,,,,0.0,0.116,1.13,0.0,0.0,0.0,1.13
2020-03-26,MA,10,0,0,7075181,21,0,10,3.99,,,,,,,,,,,,,,0.0,0.116,1.41,0.0,0.0,0.0,1.41
2020-03-27,MA,13,0,0,7075181,21,0,13,2.7,,,,,0.448,,,,,,,,,0.0,0.116,1.84,0.0,0.0,0.0,1.84
2020-03-28,MA,15,0,0,7075181,21,0,15,4.54,,,,,1.42,,,,,,,,,0.0,0.116,2.12,0.0,0.0,0.0,2.12
2020-03-29,MA,21,1,0,7075181,21,1,20,7.63,,,,,2.43,,,,,3.1,,,1.0,0.0476,0.116,2.97,0.141,0.0,0.141,2.83
2020-03-30,MA,30,1,1,7075181,21,2,28,10.38,,,,,5.28,,,,,3.39,,,0.5,0.0333,0.116,4.24,0.141,0.141,0.283,3.96
2020-03-31,MA,51,1,1,7075181,21,2,49,15.91,,,,,6.29,,,,,2.0,-0.9427,,0.5,0.0196,0.116,7.21,0.141,0.141,0.283,6.93
2020-04-01,MA,70,1,1,7075181,21,2,68,21.12,,,,,5.56,,,,,-0.4578,0.164,,0.5,0.0143,0.116,9.89,0.141,0.141,0.283,9.61
2020-04-02,MA,80,1,1,7075181,21,2,78,24.03,,0.104,,,4.08,,,,,-0.8971,0.255,,0.5,0.0125,0.116,11.31,0.141,0.141,0.283,11.02
2020-04-03,MA,87,1,1,7075181,21,2,85,24.56,0.104,0.219,0.323,24.24,2.99,,,,,-0.7318,,,0.5,0.0115,0.116,12.3,0.141,0.141,0.283,12.01
2020-04-04,MA,95,2,1,7075181,21,3,92,22.73,0.104,0.817,0.921,21.81,2.39,,,,,0.0644,,,0.667,0.0211,0.116,13.43,0.283,0.141,0.424,13.0
2020-04-05,MA,132,2,2,7075181,21,4,128,28.24,0.208,0.852,1.06,27.18,4.42,,1.06,,,1.47,,,0.5,0.0152,0.116,18.66,0.283,0.283,0.565,18.09
2020-04-06,MA,171,4,2,7075181,21,6,165,34.84,0.34,1.94,2.28,32.56,7.06,0.0907,1.71,1.8,5.26,4.2,9.92,,0.667,0.0234,0.116,24.17,0.565,0.283,0.848,23.32
2020-04-07,MA,229,11,2,7075181,21,13,216,49.69,0.34,5.99,6.33,43.36,9.72,0.0389,3.27,3.31,6.41,2.44,-1.3799,,0.846,0.048,0.116,32.37,1.55,0.283,1.84,30.53
2020-04-08,MA,272,12,2,7075181,21,14,258,61.77,0.34,5.11,5.45,56.32,8.66,0.0287,2.74,2.76,5.89,-0.1208,0.022,-0.0134,0.857,0.0441,0.116,38.44,1.7,0.283,1.98,36.47
2020-04-09,MA,293,16,3,7075181,21,19,274,55.55,0.179,7.21,7.38,48.17,6.77,0.0772,1.2,1.28,5.49,-2.3027,0.577,,0.842,0.0546,0.116,41.41,2.26,0.424,2.69,38.73
2020-04-10,MA,344,21,3,7075181,21,24,320,54.41,0.312,7.26,7.58,46.84,2.79,0.178,-0.3412,-0.1627,2.95,-1.0279,,,0.875,0.061,0.116,48.62,2.97,0.424,3.39,45.23
2020-04-11,MA,398,24,3,7075181,21,27,371,61.91,2.04,4.2,6.24,55.66,2.18,1.29,-0.1105,1.18,0.999,0.223,,,0.889,0.0603,0.116,56.25,3.39,0.424,3.82,52.44
2020-04-12,MA,445,27,3,7075181,21,30,415,63.82,3.26,4.71,7.97,55.85,9.06,7.75,-0.5684,7.18,1.88,5.86,,,0.9,0.0607,0.116,62.9,3.82,0.424,4.24,58.66
2020-04-13,MA,478,32,4,7075181,21,36,442,73.46,3.95,4.48,8.42,65.03,12.47,12.24,-0.5334,11.71,0.758,12.72,28.59,,0.889,0.0669,0.116,67.56,4.52,0.565,5.09,62.47
2020-04-14,MA,630,34,76,7075181,21,110,520,107.87,78.63,3.79,82.42,25.45,18.0,151.77,-0.0063,151.76,-133.7605,7.63,0.374,,0.309,0.054,0.116,89.04,4.81,10.74,15.55,73.5
2020-04-15,MA,695,37,344,7075181,21,381,314,119.17,362.2,3.85,366.05,-246.8823,26.15,622.07,-0.0995,621.97,-595.826,6.76,-3.9717,3.14,0.0971,0.0532,0.116,98.23,5.23,48.62,53.85,44.38
2020-04-16,MA,797,40,367,7075181,21,407,390,133.93,441.58,4.16,445.74,-311.8132,24.86,517.2,0.0536,517.26,-492.3938,0.895,-0.2616,0.0208,0.0983,0.0502,0.116,112.65,5.65,51.87,57.53,55.12
2020-04-17,MA,1040,44,433,7075181,21,477,563,172.07,482.93,4.13,487.06,-314.9918,20.02,43.42,0.375,43.79,-23.7781,-2.7029,0.291,,0.0922,0.0423,0.116,146.99,6.22,61.2,67.42,79.57
2020-04-18,MA,1205,48,461,7075181,21,509,696,172.11,190.54,4.77,195.31,-23.1996,16.92,-37.4838,0.629,-36.8549,53.78,-4.803,-3.4302,,0.0943,0.0398,0.116,170.31,6.78,65.16,71.94,98.37
2020-04-19,MA,1320,54,756,7075181,21,810,510,187.01,120.93,5.85,126.78,60.23,9.13,-27.8958,0.851,-27.0447,36.18,-4.5057,,,0.0667,0.0409,0.116,186.57,7.63,106.85,114.48,72.08
2020-04-20,MA,1396,60,758,7075181,21,818,578,190.46,121.13,7.15,128.29,62.17,-2.6022,-28.3127,1.34,-26.9685,24.37,1.74,,,0.0733,0.043,0.116,197.31,8.48,107.14,115.62,81.69
2020-04-21,MA,1604,66,856,7075181,21,922,682,169.98,119.0,8.21,127.22,42.77,0.609,-23.2525,1.53,-21.7222,22.33,-0.4689,,,0.0716,0.0411,0.116,226.71,9.33,120.99,130.31,96.39
2020-04-22,MA,1757,76,972,7075181,21,1048,709,160.63,127.58,9.78,137.36,23.27,-0.1107,-13.7157,1.77,-11.946,11.84,,,,0.0725,0.0433,0.116,248.33,10.74,137.38,148.12,100.21
2020-04-23,MA,1951,88,1036,7075181,21,1124,827,175.21,64.25,11.21,75.46,99.75,-1.0821,-8.3816,1.92,-6.4608,5.38,-1.5584,,,0.0783,0.0451,0.116,275.75,12.44,146.43,158.87,116.89
2020-04-24,MA,2105,100,1077,7075181,21,1177,928,186.36,68.48,13.43,81.91,104.45,8.84,-9.295,2.07,-7.2221,16.07,,,,0.085,0.0475,0.116,297.52,14.13,152.22,166.36,131.16
2020-04-25,MA,2223,112,1093,7075181,21,1205,1018,184.65,60.22,15.77,75.99,108.65,12.13,-8.9959,2.15,-6.8499,18.98,,,,0.0929,0.0504,0.116,314.2,15.83,154.48,170.31,143.88
2020-04-26,MA,2410,125,1152,7075181,21,1277,1133,214.34,57.38,16.83,74.21,140.12,15.32,0.811,2.12,2.93,12.39,4.6,,,0.0979,0.0519,0.116,340.63,17.67,162.82,180.49,160.14
2020-04-27,MA,2528,145,1167,7075181,21,1312,1216,220.79,56.81,18.51,75.32,145.48,19.44,3.1,1.69,4.79,14.65,4.95,,,0.111,0.0574,0.116,357.31,20.49,164.94,185.44,171.87
2020-04-28,MA,2804,166,1246,7075181,21,1412,1392,247.45,68.93,20.27,89.2,158.26,23.94,6.31,1.22,7.52,16.42,4.52,-0.386,,0.118,0.0592,0.116,396.31,23.46,176.11,199.57,196.74
2020-04-29,MA,3190,184,1366,7075181,21,1550,1640,284.19,89.34,20.8,110.14,174.06,25.74,13.26,0.928,14.18,11.56,3.52,-0.933,,0.119,0.0577,0.116,450.87,26.01,193.07,219.08,231.8
2020-04-30,MA,3506,204,1445,7075181,21,1649,1857,293.02,93.29,21.11,114.39,178.63,28.56,17.11,0.285,17.39,11.16,-1.963,0.223,,0.124,0.0582,0.116,495.54,28.83,204.24,233.07,262.47
2020-05-01,MA,3805,224,1570,7075181,21,1794,2011,330.65,114.61,20.93,135.54,195.11,19.34,14.29,-0.3477,13.94,5.4,-3.1483,1.62,,0.125,0.0589,0.116,537.8,31.66,221.9,253.56,284.23
2020-05-02,MA,4040,237,1703,7075181,21,1940,2100,351.5,131.85,19.79,151.64,199.86,15.1,13.36,-0.2983,13.06,2.04,-0.4001,,,0.122,0.0587,0.116,571.01,33.5,240.7,274.2,296.81
2020-05-03,MA,4227,249,1785,7075181,21,2034,2193,328.79,124.02,18.64,142.66,186.13,26.35,16.28,-0.2391,16.04,10.31,4.69,,,0.122,0.0589,0.116,597.44,35.19,252.29,287.48,309.96
