key,group_name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),loss_7_days,loss_14_days
Afghanistan,All,3.9653765e7,0.0707,0.2222,0.104,0.02504,0.00013,0.4605,0.00212,0.00056,6090.456,0.68,0.01391,2.66,2.66
Albania,All,2.84265e6,0.1253,0.2222,0.1072,0.03048,0.00411,0.607,0.00311,0.0006,233.561,1.169,0.05121,0.81,0.81
Algeria,All,4.3697354e7,0.05898,0.2222,0.1068,0.0793,0.00135,1.747,0.00067,0.0005,4811.255,0.552,0.01308,0.4328,0.4328
Argentina,All,4.5433446e7,0.1016,0.2222,0.1043,0.04145,0.0003,0.5908,0.00182,0.00133,8349.005,0.9746,0.01725,1.355,1.355
Armenia,All,2.938968e6,0.08359,0.2222,0.1023,0.02282,0.00506,0.9241,0.00415,0.00039,6518.625,0.8171,0.05951,1.686,1.686
Australia,All,2.5731295e7,0.02409,0.2222,0.1093,0.0142,0.00196,0.9101,0.00211,5.0e-5,251.866,0.2203,0.01842,0.6785,0.6785
Austria,All,8.937767e6,0.07666,0.2222,0.1043,0.04041,0.0089,,0.00479,0.00015,,0.7349,0.09173,0.8129,0.8129
Azerbaijan,All,1.0175641e7,0.1024,0.2222,0.1022,0.01691,0.00793,0.7366,0.00129,0.00022,3130.023,1.003,0.07861,1.427,1.427
Bahrain,All,1.726667e6,0.08021,0.2222,0.1032,0.00246,0.00219,0.4934,0.00202,0.0002,4171.215,0.7773,0.02615,1.938,1.938
Bangladesh,All,1.65611088e8,0.09263,0.2222,0.1038,0.01971,0.00195,0.5548,0.00062,0.00023,23936.641,0.8928,0.01955,1.57,1.57
Belarus,All,9.429921e6,0.0667,0.2222,0.1053,0.00671,0.00147,0.1899,0.0002,2.0e-5,3424.21,0.6336,0.01405,4.517,4.517
Belgium,All,1.157273e7,0.05565,0.2222,0.1076,,0.00019,1.074,0.00198,,3848.431,0.5175,0.00971,,
Bolivia,All,1.1736772e7,0.07824,0.2222,0.1056,0.04935,0.00217,0.3655,0.00391,0.00165,4187.395,0.7408,0.0343,1.811,1.811
Bosnia and Herzegovina,All,3.279568e6,0.1577,0.2222,0.1083,0.0643,0.03038,0.7378,0.01801,0.00089,268.915,1.456,0.3707,0.7726,0.7726
Brazil,All,2.13724406e8,0.07993,0.2222,0.1043,0.07454,0.00323,0.1673,0.00397,0.00345,76353.394,0.7663,0.04255,1.87,1.87
Bulgaria,All,6.908148e6,0.1856,0.2222,0.1031,0.06554,0.02317,0.3352,0.00631,0.00068,85.984,1.799,0.2501,0.6315,0.6315
Cameroon,All,2.6614607e7,0.06594,0.2222,0.1013,0.03494,0.00461,1.534,0.00486,0.00292,4974.19,0.6506,0.05513,2.68,2.68
Chile,All,1.9148883e7,0.09083,0.2222,0.1043,0.02133,0.00087,0.2822,0.00219,0.0033,25907.253,0.8711,0.02012,1.565,1.565
China,All,1.407987086e9,0.05557,0.2222,0.1069,0.05513,0.01374,0.9373,0.00447,1.0e-5,161.337,0.5197,0.1303,2.797,2.797
Colombia,All,5.0907732e7,0.07227,0.2222,0.1016,0.04743,0.00732,1.417,0.00786,0.00098,30519.219,0.711,0.09066,1.833,1.833
Congo-Kinshasa,All,8.9656528e7,0.07129,0.2222,0.105,0.02967,0.00066,0.2435,0.00152,0.0006,650.966,0.6789,0.01165,2.792,2.792
Costa Rica,All,5.130266e6,0.139,0.2222,0.104,0.00997,0.00221,0.5511,0.00614,0.00033,238.06,1.336,0.08176,1.103,1.103
