Date,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
2020-01-22,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-23,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-24,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-25,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-26,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-27,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-28,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-29,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-30,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-01-31,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-01,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-02,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-03,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-04,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-05,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-06,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-07,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-08,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-09,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-10,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-11,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-12,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-13,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-14,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-15,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-16,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-17,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-18,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-19,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-20,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-21,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-22,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-23,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-24,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-25,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
2020-02-26,213724406,9001,,,1,0,0,8,0,8,,,,,,,,,,,,,,,0.0,0.03743,0.0,0.0,0.0,0.03743,,
2020-02-27,213724406,9001,,,1,0,0,8,0,8,,,,,,,,,,,,,,,0.0,0.03743,0.0,0.0,0.0,0.03743,,
2020-02-28,213724406,9001,,,1,0,0,8,0,8,,,,,,,,,,,,,,,0.0,0.03743,0.0,0.0,0.0,0.03743,,
2020-02-29,213724406,9001,,,2,0,0,17,0,17,1.5,,,,,,,,,,,,,,0.0,0.07954,0.0,0.0,0.0,0.07954,,
2020-03-01,213724406,9001,,,2,0,0,17,0,17,4.167,,,,,,,,,,,,,,0.0,0.07954,0.0,0.0,0.0,0.07954,,
2020-03-02,213724406,9001,,,2,0,0,17,0,17,4.167,,,,,,,,,,,,,,0.0,0.07954,0.0,0.0,0.0,0.07954,,
2020-03-03,213724406,9001,,,2,0,0,17,0,17,15.167,,,,,5.056,,,,,,,,,0.0,0.07954,0.0,0.0,0.0,0.07954,,
2020-03-04,213724406,9001,,,4,0,0,33,0,33,15.167,,,,,5.528,,,,,,,,,0.0,0.1544,0.0,0.0,0.0,0.1544,,
2020-03-05,213724406,9001,,,4,0,0,33,0,33,24.833,,,,,7.139,,,,,6.056,,,,0.0,0.1544,0.0,0.0,0.0,0.1544,,
2020-03-06,213724406,9001,,,13,0,0,108,0,108,31.833,,,,,6.472,,,,,5.132,,,,0.0,0.5053,0.0,0.0,0.0,0.5053,,
2020-03-07,213724406,9001,,,13,0,0,108,0,108,37.333,,,,,29.278,,,,,4.785,0.2448,,,0.0,0.5053,0.0,0.0,0.0,0.5053,,
2020-03-08,213724406,9001,,,20,0,0,166,0,166,47.0,,,,,26.056,,,,,6.569,1.137,,,0.0,0.7767,0.0,0.0,0.0,0.7767,,
2020-03-09,213724406,9001,,,25,0,0,208,0,208,54.0,,,,,26.278,,,,,7.035,1.946,1.203,,0.0,0.9732,0.0,0.0,0.0,0.9732,,
2020-03-10,213724406,9001,,,31,0,0,257,0,257,190.833,,,,,32.75,,,,,9.681,3.675,2.339,,0.0,1.202,0.0,0.0,0.0,1.202,,
2020-03-11,213724406,9001,,,38,0,0,315,0,315,181.167,,,,,57.417,,,,,12.569,5.056,2.287,,0.0,1.474,0.0,0.0,0.0,1.474,,
2020-03-12,213724406,9001,,,52,0,0,432,0,432,189.5,,,,,64.778,,,,,21.271,10.491,1.512,,0.0,2.021,0.0,0.0,0.0,2.021,,
2020-03-13,213724406,9001,,,151,0,0,1253,0,1253,233.833,,,,,76.556,,,,,27.257,11.094,-0.29774,,0.0,5.863,0.0,0.0,0.0,5.863,,
