Key,Group Name,M,β,γ,α,μ
2020-03-06,Group 1,3.9653765e7,0.139,0.596,0.0141,
2020-03-07,Group 1,3.9653765e7,0.191,1.0,0.068,
2020-03-08,Group 1,3.9653765e7,0.169,0.248,0.0421,
2020-03-09,Group 1,3.9653765e7,0.193,0.243,0.0388,
2020-03-10,Group 1,3.9653765e7,0.199,0.462,0.025,
2020-03-11,Group 1,3.9653765e7,0.191,0.38,0.0134,
2020-03-12,Group 1,3.9653765e7,0.205,0.379,0.0433,
2020-03-13,Group 1,3.9653765e7,0.16,0.458,0.0452,
2020-03-14,Group 1,3.9653765e7,0.153,0.308,0.022,
2020-03-15,Group 1,3.9653765e7,0.149,0.152,0.016,
2020-03-16,Group 1,3.9653765e7,,,,
2020-03-17,Group 1,3.9653765e7,0.149,0.199,0.0143,
2020-03-18,Group 1,3.9653765e7,0.132,0.154,0.0193,
2020-03-19,Group 1,3.9653765e7,0.155,0.205,0.0161,
2020-03-20,Group 1,3.9653765e7,0.121,0.0701,0.0104,
2020-03-21,Group 1,3.9653765e7,0.136,0.0804,0.0149,
2020-03-22,Group 1,3.9653765e7,0.144,0.113,0.0253,
2020-03-23,Group 1,3.9653765e7,0.148,0.211,0.0238,0.743
2020-03-24,Group 1,3.9653765e7,0.125,0.14,0.03,0.72
2020-03-25,Group 1,3.9653765e7,0.115,0.131,0.0309,0.697
2020-03-26,Group 1,3.9653765e7,0.11,0.18,0.0151,0.606
2020-03-27,Group 1,3.9653765e7,0.0967,0.104,0.0236,0.454
2020-03-28,Group 1,3.9653765e7,0.0781,0.0561,0.0199,0.53
2020-03-29,Group 1,3.9653765e7,0.0929,0.211,0.0143,0.503
2020-03-30,Group 1,3.9653765e7,0.0947,0.223,0.0196,0.49
2020-03-31,Group 1,3.9653765e7,0.103,0.523,0.0253,0.392
2020-04-01,Group 1,3.9653765e7,0.0757,0.21,0.024,0.385
2020-04-02,Group 1,3.9653765e7,0.0596,0.0897,0.0314,0.435
2020-04-03,Group 1,3.9653765e7,0.0754,0.348,0.0343,0.378
2020-04-04,Group 1,3.9653765e7,0.051,0.123,0.0186,0.367
2020-04-05,Group 1,3.9653765e7,0.0677,0.486,0.0229,0.354
2020-04-06,Group 1,3.9653765e7,0.0737,1.0,0.0186,0.341
2020-04-07,Group 1,3.9653765e7,0.0613,0.258,0.0289,0.339
2020-04-08,Group 1,3.9653765e7,0.0521,0.164,0.0346,0.34
2020-04-09,Group 1,3.9653765e7,0.0612,0.429,0.0258,0.325
2020-04-10,Group 1,3.9653765e7,0.0633,0.949,0.0338,0.323
2020-04-11,Group 1,3.9653765e7,0.0463,0.208,0.0233,0.316
2020-04-12,Group 1,3.9653765e7,0.01,0.01,0.0313,0.312
2020-04-13,Group 1,3.9653765e7,0.0411,0.183,0.0305,0.307
2020-04-14,Group 1,3.9653765e7,0.047,0.402,0.0259,0.301
2020-04-15,Group 1,3.9653765e7,0.01,0.0118,0.0397,0.275
2020-04-16,Group 1,3.9653765e7,0.0435,0.285,0.0371,0.268
2020-04-17,Group 1,3.9653765e7,0.0395,0.274,0.0323,0.248
2020-04-18,Group 1,3.9653765e7,0.0326,0.154,0.0449,0.244
2020-04-19,Group 1,3.9653765e7,0.0381,0.447,0.0292,0.24
2020-04-20,Group 1,3.9653765e7,0.023,0.101,0.0488,0.24
2020-04-21,Group 1,3.9653765e7,0.0178,0.0749,0.0624,0.241
2020-04-22,Group 1,3.9653765e7,0.0348,0.368,0.0619,0.245
2020-04-23,Group 1,3.9653765e7,0.0343,0.357,0.065,0.242
2020-04-24,Group 1,3.9653765e7,0.019,0.088,0.0725,0.231
2020-04-25,Group 1,3.9653765e7,0.0388,0.935,0.0565,0.231
2020-04-26,Group 1,3.9653765e7,0.01,0.0307,0.0525,0.228
2020-04-27,Group 1,3.9653765e7,0.01,0.01,0.0316,0.206
2020-04-28,Group 1,3.9653765e7,0.0114,0.0805,0.0421,0.205
2020-04-30,Group 1,3.9653765e7,0.0316,0.273,0.0445,0.239
2020-05-02,Group 1,3.9653765e7,0.01,0.01,0.0392,0.232
2020-05-03,Group 1,3.9653765e7,0.0325,0.716,0.0395,0.231
2020-05-04,Group 1,3.9653765e7,0.0217,0.168,0.0359,0.23
